,category,URL
0,Car Care,https://www.amazon.com/Best-Sellers-Automotive-Car-Care/zgbs/automotive/15718271/ref=zg_bs_nav_auto_1_auto
1,Exterior Accessories,https://www.amazon.com/Best-Sellers-Automotive-Exterior-Accessories/zgbs/automotive/15857511/ref=zg_bs_nav_auto_1_auto
2,Interior Accessories,https://www.amazon.com/Best-Sellers-Automotive-Interior-Accessories/zgbs/automotive/15857501/ref=zg_bs_nav_auto_1_auto
3,Light & Lighting Accessories,https://www.amazon.com/Best-Sellers-Automotive-Lights-Bulbs-Indicators/zgbs/automotive/15736321/ref=zg_bs_nav_auto_1_auto
4,Motorcycle & ATV,https://www.amazon.com/Best-Sellers-Automotive-Motorcycle-Powersports/zgbs/automotive/346333011/ref=zg_bs_nav_auto_1_auto
5,Oils & Fluids,https://www.amazon.com/Best-Sellers-Automotive-Oils-Fluids/zgbs/automotive/15718791/ref=zg_bs_nav_auto_1_auto
6,Paint & Paint Supplies,https://www.amazon.com/Best-Sellers-Automotive-Paint-Supplies/zgbs/automotive/13591416011/ref=zg_bs_nav_auto_1_auto
7,Performance Parts & Accessories,https://www.amazon.com/Best-Sellers-Automotive-Performance-Parts-Accessories/zgbs/automotive/15710351/ref=zg_bs_nav_auto_1_auto
8,RV Parts & Accessories,https://www.amazon.com/Best-Sellers-Automotive-RV-Parts-Accessories/zgbs/automotive/2258019011/ref=zg_bs_nav_auto_1_auto
9,Replacement Parts,https://www.amazon.com/Best-Sellers-Automotive-Replacement-Parts/zgbs/automotive/15719731/ref=zg_bs_nav_auto_1_auto
10,Tools & Equipment,https://www.amazon.com/Best-Sellers-Automotive-Tools-Equipment/zgbs/automotive/15706941/ref=zg_bs_nav_auto_1_auto
11,Wheels & Tires,https://www.amazon.com/Best-Sellers-Automotive-Tires-Wheels/zgbs/automotive/15706571/ref=zg_bs_nav_auto_1_auto
