,category,URL
0,Activity & Entertainment,https://www.amazon.com/Best-Sellers-Baby-Activity-Entertainment-Products/zgbs/baby-products/239225011/ref=zg_bs_nav_ba_1_ba
1,Baby Care,https://www.amazon.com/Best-Sellers-Baby-Care-Products/zgbs/baby-products/17720255011/ref=zg_bs_nav_ba_1_ba
2,Car Seats,https://www.amazon.com/Best-Sellers-Baby-Child-Safety-Car-Seats-Accessories/zgbs/baby-products/166835011/ref=zg_bs_nav_ba_1_ba
3,Diapering,https://www.amazon.com/Best-Sellers-Baby-Diapering-Products/zgbs/baby-products/166764011/ref=zg_bs_nav_ba_1_ba
4,Feeding,https://www.amazon.com/Best-Sellers-Baby-Toddler-Feeding-Supplies/zgbs/baby-products/166777011/ref=zg_bs_nav_ba_1_ba
5,For Moms,https://www.amazon.com/Best-Sellers-Baby-Pregnancy-Maternity-Products/zgbs/baby-products/166804011/ref=zg_bs_nav_ba_1_ba
6,Gifts,https://www.amazon.com/Best-Sellers-Baby-Gifts/zgbs/baby-products/239226011/ref=zg_bs_nav_ba_1_ba
7,Nursery,https://www.amazon.com/Best-Sellers-Baby-Nursery-Furniture-Bedding-Décor/zgbs/baby-products/695338011/ref=zg_bs_nav_ba_1_ba
8,Potty Training,https://www.amazon.com/Best-Sellers-Baby-Toilet-Training-Products/zgbs/baby-products/166887011/ref=zg_bs_nav_ba_1_ba
9,Safety,https://www.amazon.com/Best-Sellers-Baby-Safety-Products/zgbs/baby-products/166863011/ref=zg_bs_nav_ba_1_ba
10,Strollers,https://www.amazon.com/Best-Sellers-Baby-Strollers/zgbs/baby-products/166842011/ref=zg_bs_nav_ba_1_ba
11,Travel Gear,https://www.amazon.com/Best-Sellers-Baby-Travel-Gear/zgbs/baby-products/17726796011/ref=zg_bs_nav_ba_1_ba
