,category,URL
0,Alternative Rock,https://www.amazon.com/Best-Sellers-Music-Alternative-Rock/zgbs/music/30/ref=zg_bs_nav_m_1_m
1,Blues,https://www.amazon.com/Best-Sellers-Music-Blues/zgbs/music/31/ref=zg_bs_nav_m_1_m
2,Broadway & Vocalists,https://www.amazon.com/Best-Sellers-Music-Broadway-Vocalists/zgbs/music/265640/ref=zg_bs_nav_m_1_m
3,Children's Music,https://www.amazon.com/Best-Sellers-Music-Childrens/zgbs/music/173425/ref=zg_bs_nav_m_1_m
4,Christian,https://www.amazon.com/Best-Sellers-Music-Christian-Gospel/zgbs/music/173429/ref=zg_bs_nav_m_1_m
5,Classic Rock,https://www.amazon.com/Best-Sellers-Music-Classic-Rock/zgbs/music/67204/ref=zg_bs_nav_m_1_m
6,Classical,https://www.amazon.com/Best-Sellers-Music-Classical/zgbs/music/85/ref=zg_bs_nav_m_1_m
7,Country,https://www.amazon.com/Best-Sellers-Music-Country/zgbs/music/16/ref=zg_bs_nav_m_1_m
8,Dance & Electronic,https://www.amazon.com/Best-Sellers-Music-Dance-Electronic/zgbs/music/7/ref=zg_bs_nav_m_1_m
9,Folk,https://www.amazon.com/Best-Sellers-Music-Folk/zgbs/music/32/ref=zg_bs_nav_m_1_m
10,Gospel,https://www.amazon.com/Best-Sellers-Music-Gospel/zgbs/music/2231705011/ref=zg_bs_nav_m_1_m
11,Hard Rock & Metal,https://www.amazon.com/Best-Sellers-Music-Metal/zgbs/music/67207/ref=zg_bs_nav_m_1_m
12,Indie & Lo-Fi,https://www.amazon.com/Best-Sellers-Music-Indie-Lo-Fi/zgbs/music/468300/ref=zg_bs_nav_m_1_m
13,International Music,https://www.amazon.com/Best-Sellers-Music-International/zgbs/music/33/ref=zg_bs_nav_m_1_m
14,Jazz,https://www.amazon.com/Best-Sellers-Music-Jazz/zgbs/music/34/ref=zg_bs_nav_m_1_m
15,Latin Music,https://www.amazon.com/Best-Sellers-Music-Latin/zgbs/music/289122/ref=zg_bs_nav_m_1_m
16,Miscellaneous,https://www.amazon.com/Best-Sellers-Music-Special-Interest/zgbs/music/35/ref=zg_bs_nav_m_1_m
17,New Age,https://www.amazon.com/Best-Sellers-Music-New-Age/zgbs/music/36/ref=zg_bs_nav_m_1_m
18,Opera & Vocal,https://www.amazon.com/Best-Sellers-Music-Opera-Vocal/zgbs/music/84/ref=zg_bs_nav_m_1_m
19,Pop,https://www.amazon.com/Best-Sellers-Music-Pop/zgbs/music/37/ref=zg_bs_nav_m_1_m
20,R&B,https://www.amazon.com/Best-Sellers-Music-R-B/zgbs/music/39/ref=zg_bs_nav_m_1_m
21,Rap & Hip-Hop,https://www.amazon.com/Best-Sellers-Music-Rap-Hip-Hop/zgbs/music/38/ref=zg_bs_nav_m_1_m
22,Rock,https://www.amazon.com/Best-Sellers-Music-Rock/zgbs/music/40/ref=zg_bs_nav_m_1_m
23,Soundtracks,https://www.amazon.com/Best-Sellers-Music-Soundtracks/zgbs/music/42/ref=zg_bs_nav_m_1_m
