,category,URL
0,Baby,https://www.amazon.com/Best-Sellers-Baby-Clothing-Shoes/zgbs/fashion/7147444011/ref=zg_bs_nav_1_fashion
1,Boys,https://www.amazon.com/Best-Sellers-Boys-Fashion/zgbs/fashion/7147443011/ref=zg_bs_nav_1_fashion
2,Costumes & Accessories,https://www.amazon.com/Best-Sellers-Costumes-Accessories/zgbs/fashion/7586165011/ref=zg_bs_nav_1_fashion
3,Girls,https://www.amazon.com/Best-Sellers-Girls-Fashion/zgbs/fashion/7147442011/ref=zg_bs_nav_1_fashion
4,Luggage & Travel Gear,https://www.amazon.com/Best-Sellers-Luggage-Travel-Gear/zgbs/fashion/9479199011/ref=zg_bs_nav_1_fashion
5,Men,https://www.amazon.com/Best-Sellers-Mens-Fashion/zgbs/fashion/7147441011/ref=zg_bs_nav_1_fashion
6,Novelty & More,https://www.amazon.com/Best-Sellers-Novelty-More/zgbs/fashion/7147445011/ref=zg_bs_nav_1_fashion
7,"Shoe, Jewelry & Watch Accessories",https://www.amazon.com/Best-Sellers-Shoe-Jewelry-Watch-Accessories/zgbs/fashion/7586146011/ref=zg_bs_nav_1_fashion
8,"Uniforms, Work & Safety",https://www.amazon.com/Best-Sellers-Uniforms-Work-Safety/zgbs/fashion/7586144011/ref=zg_bs_nav_1_fashion
9,Women,https://www.amazon.com/Best-Sellers-Womens-Fashion/zgbs/fashion/7147440011/ref=zg_bs_nav_1_fashion
