,category,URL
0,Computer Accessories & Peripherals,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Peripherals/zgbs/pc/172456/ref=zg_bs_nav_pc_1_pc
1,Computer Components,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Components/zgbs/pc/193870011/ref=zg_bs_nav_pc_1_pc
2,Data Storage,https://www.amazon.com/Best-Sellers-Computers-Accessories-Data-Storage/zgbs/pc/1292110011/ref=zg_bs_nav_pc_1_pc
3,Desktops,https://www.amazon.com/Best-Sellers-Computers-Accessories-Desktop/zgbs/pc/565098/ref=zg_bs_nav_pc_1_pc
4,External Components,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-External-Components/zgbs/pc/3012292011/ref=zg_bs_nav_pc_1_pc
5,Laptop Accessories,https://www.amazon.com/Best-Sellers-Computers-Accessories-Laptop/zgbs/pc/3011391011/ref=zg_bs_nav_pc_1_pc
6,Laptops,https://www.amazon.com/Best-Sellers-Computers-Accessories-Laptop/zgbs/pc/565108/ref=zg_bs_nav_pc_1_pc
7,Monitors,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Monitors/zgbs/pc/1292115011/ref=zg_bs_nav_pc_1_pc
8,Networking Products,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Networking/zgbs/pc/172504/ref=zg_bs_nav_pc_1_pc
9,Printers,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Printers/zgbs/pc/172635/ref=zg_bs_nav_pc_1_pc
10,Routers,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Routers/zgbs/pc/300189/ref=zg_bs_nav_pc_1_pc
11,Scanners,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Scanners/zgbs/pc/172584/ref=zg_bs_nav_pc_1_pc
12,Servers,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Servers/zgbs/pc/11036071/ref=zg_bs_nav_pc_1_pc
13,Tablet Accessories,https://www.amazon.com/Best-Sellers-Computers-Accessories-Tablet/zgbs/pc/2348628011/ref=zg_bs_nav_pc_1_pc
14,Tablets,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Tablets/zgbs/pc/1232597011/ref=zg_bs_nav_pc_1_pc
15,Warranties & Services,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Warranties-Services/zgbs/pc/16285851/ref=zg_bs_nav_pc_1_pc
