,category,URL
0,Accessories & Supplies,https://www.amazon.com/Best-Sellers-Electronics-Accessories-Supplies/zgbs/electronics/281407/ref=zg_bs_nav_e_1_e
1,Camera & Photo,https://www.amazon.com/Best-Sellers-Electronics-Camera-Photo/zgbs/electronics/502394/ref=zg_bs_nav_e_1_e
2,Car Electronics,https://www.amazon.com/Best-Sellers-Electronics-Car/zgbs/electronics/1077068/ref=zg_bs_nav_e_1_e
3,Cell Phones & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Cell-Phones-Accessories/zgbs/electronics/2811119011/ref=zg_bs_nav_e_1_e
4,Computers & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computers-Accessories/zgbs/electronics/541966/ref=zg_bs_nav_e_1_e
5,GPS & Navigation,https://www.amazon.com/Best-Sellers-Electronics-GPS-Finders-Accessories/zgbs/electronics/172526/ref=zg_bs_nav_e_1_e
6,Headphones,https://www.amazon.com/Best-Sellers-Electronics-Audio-Headphones/zgbs/electronics/172541/ref=zg_bs_nav_e_1_e
7,Home Audio & Theater,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_e_1_e
8,Marine Electronics,https://www.amazon.com/Best-Sellers-Electronics-Marine/zgbs/electronics/319574011/ref=zg_bs_nav_e_1_e
9,Office Electronics,https://www.amazon.com/Best-Sellers-Electronics-Office-Products/zgbs/electronics/172574/ref=zg_bs_nav_e_1_e
10,Portable Audio & Video,https://www.amazon.com/Best-Sellers-Electronics-Portable-Audio-Video/zgbs/electronics/172623/ref=zg_bs_nav_e_1_e
11,Security & Surveillance,https://www.amazon.com/Best-Sellers-Electronics-Security-Surveillance-Equipment/zgbs/electronics/524136/ref=zg_bs_nav_e_1_e
12,Service & Replacement Plans,https://www.amazon.com/Best-Sellers-Electronics-Computers-Service-Plans/zgbs/electronics/16285901/ref=zg_bs_nav_e_1_e
13,Televisions & Video,https://www.amazon.com/Best-Sellers-Electronics-Televisions-Video-Products/zgbs/electronics/1266092011/ref=zg_bs_nav_e_1_e
14,Video Game Consoles & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Video-Game-Consoles-Accessories/zgbs/electronics/7926841011/ref=zg_bs_nav_e_1_e
15,Wearable Technology,https://www.amazon.com/Best-Sellers-Electronics-Wearable-Technology/zgbs/electronics/10048700011/ref=zg_bs_nav_e_1_e
16,eBook Readers & Accessories,https://www.amazon.com/Best-Sellers-Electronics-eBook-Readers-Accessories/zgbs/electronics/2642125011/ref=zg_bs_nav_e_1_e
