,category,URL
0,Baby & Expecting,https://www.amazon.com/Best-Sellers-Gift-Cards-Baby-Expecting/zgbs/gift-cards/2973104011/ref=zg_bs_nav_gc_1_gc
1,Birthday,https://www.amazon.com/Best-Sellers-Gift-Cards-Birthday/zgbs/gift-cards/2973106011/ref=zg_bs_nav_gc_1_gc
2,Christmas,https://www.amazon.com/Best-Sellers-Gift-Cards-Christmas/zgbs/gift-cards/2973107011/ref=zg_bs_nav_gc_1_gc
3,Departments,https://www.amazon.com/Best-Sellers-Gift-Cards-Store/zgbs/gift-cards/2864120011/ref=zg_bs_nav_gc_1_gc
4,Father's Day,https://www.amazon.com/Best-Sellers-Gift-Cards-Fathers-Day/zgbs/gift-cards/2973112011/ref=zg_bs_nav_gc_1_gc
5,For Her,https://www.amazon.com/Best-Sellers-Gift-Cards-Her/zgbs/gift-cards/2973099011/ref=zg_bs_nav_gc_1_gc
6,For Him,https://www.amazon.com/Best-Sellers-Gift-Cards-Him/zgbs/gift-cards/2973098011/ref=zg_bs_nav_gc_1_gc
7,Graduation,https://www.amazon.com/Best-Sellers-Gift-Cards-Graduation/zgbs/gift-cards/2973114011/ref=zg_bs_nav_gc_1_gc
8,Kids,https://www.amazon.com/Best-Sellers-Gift-Cards-Kids/zgbs/gift-cards/2973100011/ref=zg_bs_nav_gc_1_gc
9,Mother's Day,https://www.amazon.com/Best-Sellers-Gift-Cards-Mothers-Day/zgbs/gift-cards/2973118011/ref=zg_bs_nav_gc_1_gc
10,New Year's,https://www.amazon.com/Best-Sellers-Gift-Cards-New-Years/zgbs/gift-cards/2973120011/ref=zg_bs_nav_gc_1_gc
11,Restaurants,https://www.amazon.com/Best-Sellers-Gift-Cards-Restaurants/zgbs/gift-cards/2973090011/ref=zg_bs_nav_gc_1_gc
12,Teens,https://www.amazon.com/Best-Sellers-Gift-Cards-Teens/zgbs/gift-cards/2973101011/ref=zg_bs_nav_gc_1_gc
13,Thank You & Appreciation,https://www.amazon.com/Best-Sellers-Gift-Cards-Thank-You-Appreciation/zgbs/gift-cards/2973125011/ref=zg_bs_nav_gc_1_gc
14,Wedding & Engagement,https://www.amazon.com/Best-Sellers-Gift-Cards-Wedding-Engagement/zgbs/gift-cards/2973128011/ref=zg_bs_nav_gc_1_gc
15,Winter Holidays,https://www.amazon.com/Best-Sellers-Gift-Cards-Winter-Holidays/zgbs/gift-cards/2973129011/ref=zg_bs_nav_gc_1_gc
