,category,URL
0,Baby,https://www.amazon.com/Best-Sellers-Handmade-Baby-Products/zgbs/handmade/11403470011/ref=zg_bs_nav_hnd_1_hnd
1,Beauty & Grooming,https://www.amazon.com/Best-Sellers-Handmade-Beauty-Personal-Care-Products/zgbs/handmade/11403472011/ref=zg_bs_nav_hnd_1_hnd
2,"Clothing, Shoes & Accessories",https://www.amazon.com/Best-Sellers-Handmade-Clothing-Shoes-Accessories/zgbs/handmade/17714704011/ref=zg_bs_nav_hnd_1_hnd
3,Electronics Accessories,https://www.amazon.com/Best-Sellers-Handmade-Electronics-Accessories/zgbs/handmade/11403474011/ref=zg_bs_nav_hnd_1_hnd
4,Health & Personal Care,https://www.amazon.com/Best-Sellers-Handmade-Health-Personal-Care-Products/zgbs/handmade/19530416011/ref=zg_bs_nav_hnd_1_hnd
5,Home & Kitchen,https://www.amazon.com/Best-Sellers-Handmade-Home-Kitchen-Products/zgbs/handmade/11403478011/ref=zg_bs_nav_hnd_1_hnd
6,Jewelry,https://www.amazon.com/Best-Sellers-Handmade-Jewelry/zgbs/handmade/11403480011/ref=zg_bs_nav_hnd_1_hnd
7,Pet Supplies,https://www.amazon.com/Best-Sellers-Handmade-Pet-Supplies/zgbs/handmade/11403488011/ref=zg_bs_nav_hnd_1_hnd
8,Sports & Outdoors,https://www.amazon.com/Best-Sellers-Handmade-Sports-Outdoors/zgbs/handmade/11403493011/ref=zg_bs_nav_hnd_1_hnd
9,Stationery & Party Supplies,https://www.amazon.com/Best-Sellers-Handmade-Stationery-Party-Supplies/zgbs/handmade/11435470011/ref=zg_bs_nav_hnd_1_hnd
10,Toys & Games,https://www.amazon.com/Best-Sellers-Handmade-Toys-Games/zgbs/handmade/11403495011/ref=zg_bs_nav_hnd_1_hnd
