,category,URL
0,Bath,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bath-Products/zgbs/home-garden/1063236/ref=zg_bs_nav_hg_1_hg
1,Bedding,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bedding/zgbs/home-garden/1063252/ref=zg_bs_nav_hg_1_hg
2,Cleaning Supplies,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Cleaning-Supplies/zgbs/home-garden/10802561/ref=zg_bs_nav_hg_1_hg
3,Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Furniture/zgbs/home-garden/1063306/ref=zg_bs_nav_hg_1_hg
4,"Heating, Cooling & Air Quality",https://www.amazon.com/Best-Sellers-Home-Kitchen-Heating-Cooling-Air-Quality/zgbs/home-garden/3206324011/ref=zg_bs_nav_hg_1_hg
5,Home Décor,https://www.amazon.com/Best-Sellers-Home-Kitchen-Décor-Products/zgbs/home-garden/1063278/ref=zg_bs_nav_hg_1_hg
6,Irons & Steamers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Ironing-Products/zgbs/home-garden/510240/ref=zg_bs_nav_hg_1_hg
7,Kids' Home Store,https://www.amazon.com/Best-Sellers-Home-Kitchen-Kids-Store/zgbs/home-garden/3206325011/ref=zg_bs_nav_hg_1_hg
8,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining/zgbs/home-garden/284507/ref=zg_bs_nav_hg_1_hg
9,Seasonal Décor,https://www.amazon.com/Best-Sellers-Home-Kitchen-Seasonal-Décor/zgbs/home-garden/13679381/ref=zg_bs_nav_hg_1_hg
10,Storage & Organization,https://www.amazon.com/Best-Sellers-Home-Kitchen-Storage-Organization/zgbs/home-garden/3610841/ref=zg_bs_nav_hg_1_hg
11,Vacuums & Floor Care,https://www.amazon.com/Best-Sellers-Home-Kitchen-Vacuum-Cleaners-Floor-Care/zgbs/home-garden/510106/ref=zg_bs_nav_hg_1_hg
12,Wall Décor,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wall-Art/zgbs/home-garden/3736081/ref=zg_bs_nav_hg_1_hg
