,category,URL
0,Abrasive & Finishing Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Abrasive-Finishing-Products/zgbs/industrial/256167011/ref=zg_bs_nav_indust_1_indust
1,Additive Manufacturing Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Additive-Manufacturing-Products/zgbs/industrial/6066126011/ref=zg_bs_nav_indust_1_indust
2,"Adhesives, Sealants & Lubricants",https://www.amazon.com/Best-Sellers-Industrial-Scientific-Adhesives-Sealants-Lubricants/zgbs/industrial/256225011/ref=zg_bs_nav_indust_1_indust
3,Automatic Irrigation Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Automatic-Irrigation-Equipment/zgbs/industrial/13400231/ref=zg_bs_nav_indust_1_indust
4,Commercial Door Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Door-Products/zgbs/industrial/10773802011/ref=zg_bs_nav_indust_1_indust
5,Commercial Lighting,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Lighting-Products/zgbs/industrial/5772192011/ref=zg_bs_nav_indust_1_indust
6,Cutting Tools,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Cutting-Tools/zgbs/industrial/383598011/ref=zg_bs_nav_indust_1_indust
7,Digital Signage,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Digital-Signage-Equipment/zgbs/industrial/18746931011/ref=zg_bs_nav_indust_1_indust
8,Fasteners,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Fasteners/zgbs/industrial/383599011/ref=zg_bs_nav_indust_1_indust
9,Filtration,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Filtration/zgbs/industrial/3061625011/ref=zg_bs_nav_indust_1_indust
10,Food Service Equipment & Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Food-Service-Equipment-Supplies/zgbs/industrial/6054382011/ref=zg_bs_nav_indust_1_indust
11,"Hydraulics, Pneumatics & Plumbing",https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hydraulics-Pneumatics-Plumbing/zgbs/industrial/3021479011/ref=zg_bs_nav_indust_1_indust
12,Industrial Electrical,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Electronic-Components/zgbs/industrial/306506011/ref=zg_bs_nav_indust_1_indust
13,Industrial Hardware,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware/zgbs/industrial/16412251/ref=zg_bs_nav_indust_1_indust
14,Janitorial & Sanitation Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Janitorial-Sanitation-Supplies/zgbs/industrial/317971011/ref=zg_bs_nav_indust_1_indust
15,Lab & Scientific Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Lab-Products/zgbs/industrial/317970011/ref=zg_bs_nav_indust_1_indust
16,Material Handling Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Material-Handling-Products/zgbs/industrial/256346011/ref=zg_bs_nav_indust_1_indust
17,Occupational Health & Safety Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Occupational-Health-Safety-Products/zgbs/industrial/318135011/ref=zg_bs_nav_indust_1_indust
18,Packaging & Shipping Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Packaging-Shipping-Supplies/zgbs/industrial/8553197011/ref=zg_bs_nav_indust_1_indust
19,Power & Hand Tools,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Power-Hand-Tools/zgbs/industrial/3021459011/ref=zg_bs_nav_indust_1_indust
20,Power Transmission Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Power-Transmission-Products/zgbs/industrial/16310181/ref=zg_bs_nav_indust_1_indust
21,Professional Dental Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Professional-Dental-Supplies/zgbs/industrial/8297371011/ref=zg_bs_nav_indust_1_indust
22,Professional Medical Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Professional-Medical-Supplies/zgbs/industrial/8297370011/ref=zg_bs_nav_indust_1_indust
23,Raw Materials,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Materials/zgbs/industrial/16310191/ref=zg_bs_nav_indust_1_indust
24,Retail Store Fixtures & Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retail-Store-Fixtures-Equipment/zgbs/industrial/8615538011/ref=zg_bs_nav_indust_1_indust
25,Robotics,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Robotics/zgbs/industrial/8498884011/ref=zg_bs_nav_indust_1_indust
26,Science Education,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Science-Education-Supplies/zgbs/industrial/393459011/ref=zg_bs_nav_indust_1_indust
27,"Test, Measure & Inspect",https://www.amazon.com/Best-Sellers-Industrial-Scientific-Test-Measure-Inspect/zgbs/industrial/256409011/ref=zg_bs_nav_indust_1_indust
