,category,URL
0,Bakeware,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Bakeware/zgbs/kitchen/289668/ref=zg_bs_nav_k_1_k
1,Bar Tools & Drinkware,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Bar-Tools-Drinkware/zgbs/kitchen/289728/ref=zg_bs_nav_k_1_k
2,"Coffee, Tea & Espresso Appliances",https://www.amazon.com/Best-Sellers-Kitchen-Dining-Coffee-Tea-Espresso-Appliances/zgbs/kitchen/289742/ref=zg_bs_nav_k_1_k
3,Cookware,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Cookware/zgbs/kitchen/289814/ref=zg_bs_nav_k_1_k
4,Cutlery & Knife Accessories,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Cutlery-Knife-Accessories/zgbs/kitchen/289851/ref=zg_bs_nav_k_1_k
5,Dining & Entertaining,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Entertaining/zgbs/kitchen/13162311/ref=zg_bs_nav_k_1_k
6,Glassware & Drinkware,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Glassware-Drinkware/zgbs/kitchen/13217501/ref=zg_bs_nav_k_1_k
7,Home Brewing & Wine Making,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Home-Brewing-Wine-Making/zgbs/kitchen/979832011/ref=zg_bs_nav_k_1_k
8,Kitchen & Table Linens,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Table-Linens/zgbs/kitchen/1063916/ref=zg_bs_nav_k_1_k
9,Kitchen Utensils & Gadgets,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Utensils-Gadgets/zgbs/kitchen/289754/ref=zg_bs_nav_k_1_k
10,Small Appliances,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Small-Appliances/zgbs/kitchen/289913/ref=zg_bs_nav_k_1_k
11,Storage & Organization,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Storage-Organization/zgbs/kitchen/510136/ref=zg_bs_nav_k_1_k
12,Wine Accessories,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Wine-Accessories/zgbs/kitchen/13299291/ref=zg_bs_nav_k_1_k
