,category,URL
0,Band & Orchestra,https://www.amazon.com/Best-Sellers-Musical-Instruments-Band-Orchestra/zgbs/musical-instruments/405758011/ref=zg_bs_nav_MI_1_MI
1,Bass Guitars,https://www.amazon.com/Best-Sellers-Musical-Instruments-Bass-Guitars/zgbs/musical-instruments/11971311/ref=zg_bs_nav_MI_1_MI
2,"DJ, Electronic Music & Karaoke",https://www.amazon.com/Best-Sellers-Musical-Instruments-Electronic-Music-DJ-Karaoke/zgbs/musical-instruments/11973881/ref=zg_bs_nav_MI_1_MI
3,Drums & Percussion,https://www.amazon.com/Best-Sellers-Musical-Instruments-Drums-Percussion/zgbs/musical-instruments/11970241/ref=zg_bs_nav_MI_1_MI
4,Guitars,https://www.amazon.com/Best-Sellers-Musical-Instruments-Guitars/zgbs/musical-instruments/11971241/ref=zg_bs_nav_MI_1_MI
5,Instrument Accessories,https://www.amazon.com/Best-Sellers-Musical-Instruments-Instrument-Accessories/zgbs/musical-instruments/11965871/ref=zg_bs_nav_MI_1_MI
6,Keyboards,https://www.amazon.com/Best-Sellers-Musical-Instruments-Instrument-Keyboards-MIDI/zgbs/musical-instruments/11969981/ref=zg_bs_nav_MI_1_MI
7,Live Sound & Stage,https://www.amazon.com/Best-Sellers-Musical-Instruments-Stage-Sound-Equipment/zgbs/musical-instruments/405757011/ref=zg_bs_nav_MI_1_MI
8,Recording Equipment,https://www.amazon.com/Best-Sellers-Musical-Instruments-Music-Recording-Equipment/zgbs/musical-instruments/11973111/ref=zg_bs_nav_MI_1_MI
9,"Ukuleles, Mandolins & Banjos",https://www.amazon.com/Best-Sellers-Musical-Instruments-Ukuleles-Mandolins-Banjos/zgbs/musical-instruments/14733114011/ref=zg_bs_nav_MI_1_MI
