,category,URL
0,Farm & Ranch,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Farming-Urban-Agriculture/zgbs/lawn-garden/4619352011/ref=zg_bs_nav_lg_1_lg
1,Gardening,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Gardening-Lawn-Care/zgbs/lawn-garden/3610851/ref=zg_bs_nav_lg_1_lg
2,Generators & Portable Power,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Generators-Portable-Power/zgbs/lawn-garden/552808/ref=zg_bs_nav_lg_1_lg
3,Grills & Outdoor Cooking,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Cooking/zgbs/lawn-garden/553760/ref=zg_bs_nav_lg_1_lg
4,Mowers & Outdoor Power Tools,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Power-Lawn-Equipment/zgbs/lawn-garden/551242/ref=zg_bs_nav_lg_1_lg
5,Outdoor Décor,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Décor/zgbs/lawn-garden/553788/ref=zg_bs_nav_lg_1_lg
6,Outdoor Heating,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Heating-Cooling/zgbs/lawn-garden/13638732011/ref=zg_bs_nav_lg_1_lg
7,Outdoor Storage,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Storage-Housing/zgbs/lawn-garden/13400641/ref=zg_bs_nav_lg_1_lg
8,Patio Furniture & Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Patio-Furniture-Accessories/zgbs/lawn-garden/553824/ref=zg_bs_nav_lg_1_lg
9,Pest Control,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pest-Control-Products/zgbs/lawn-garden/553844/ref=zg_bs_nav_lg_1_lg
10,"Pools, Hot Tubs & Supplies",https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pools-Hot-Tubs-Supplies/zgbs/lawn-garden/1272941011/ref=zg_bs_nav_lg_1_lg
11,Snow Removal,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Snow-Removal-Tools/zgbs/lawn-garden/3043471/ref=zg_bs_nav_lg_1_lg
