,category,URL
0,Balls,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Balls/zgbs/sports-collectibles/3311044011/ref=zg_bs_nav_sg_sc_1_sg_sc
1,Baseball Bases,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Baseball-Bases/zgbs/sports-collectibles/5395827011/ref=zg_bs_nav_sg_sc_1_sg_sc
2,Bats,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Bats/zgbs/sports-collectibles/3311045011/ref=zg_bs_nav_sg_sc_1_sg_sc
3,Bobbleheads,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Bobbleheads/zgbs/sports-collectibles/3311046011/ref=zg_bs_nav_sg_sc_1_sg_sc
4,Books,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Books/zgbs/sports-collectibles/3311047011/ref=zg_bs_nav_sg_sc_1_sg_sc
5,Clothing & Uniforms,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Clothing-Uniforms/zgbs/sports-collectibles/7702506011/ref=zg_bs_nav_sg_sc_1_sg_sc
6,Cut Signatures,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Memorabilia-Cut-Signatures/zgbs/sports-collectibles/5931158011/ref=zg_bs_nav_sg_sc_1_sg_sc
7,Diecast Cars,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Diecast-Cars/zgbs/sports-collectibles/7702514011/ref=zg_bs_nav_sg_sc_1_sg_sc
8,Figurines,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Figurines/zgbs/sports-collectibles/7702516011/ref=zg_bs_nav_sg_sc_1_sg_sc
9,Flags & Banners,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Flags-Banners/zgbs/sports-collectibles/3311048011/ref=zg_bs_nav_sg_sc_1_sg_sc
10,Gloves,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Gloves/zgbs/sports-collectibles/3311051011/ref=zg_bs_nav_sg_sc_1_sg_sc
11,Golf Clubs,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Golf-Clubs/zgbs/sports-collectibles/3311052011/ref=zg_bs_nav_sg_sc_1_sg_sc
12,Hats,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Hats/zgbs/sports-collectibles/3311053011/ref=zg_bs_nav_sg_sc_1_sg_sc
13,Helmets,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Helmets/zgbs/sports-collectibles/3311054011/ref=zg_bs_nav_sg_sc_1_sg_sc
14,Hockey Pucks,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Hockey-Pucks/zgbs/sports-collectibles/3311057011/ref=zg_bs_nav_sg_sc_1_sg_sc
15,Hockey Sticks & Blades,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Hockey-Sticks-Blades/zgbs/sports-collectibles/3311058011/ref=zg_bs_nav_sg_sc_1_sg_sc
16,Jerseys,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Jerseys/zgbs/sports-collectibles/3311061011/ref=zg_bs_nav_sg_sc_1_sg_sc
17,Lineup Cards,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Lineup-Cards/zgbs/sports-collectibles/5395826011/ref=zg_bs_nav_sg_sc_1_sg_sc
18,Magazines,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Magazines/zgbs/sports-collectibles/3311062011/ref=zg_bs_nav_sg_sc_1_sg_sc
19,Personal Checks,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Personal-Checks/zgbs/sports-collectibles/5395829011/ref=zg_bs_nav_sg_sc_1_sg_sc
20,Photographs,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Photographs/zgbs/sports-collectibles/3311063011/ref=zg_bs_nav_sg_sc_1_sg_sc
21,Postcards & Index Cards,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Postcards-Index-Cards/zgbs/sports-collectibles/3311064011/ref=zg_bs_nav_sg_sc_1_sg_sc
22,Prints & Posters,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Prints-Posters/zgbs/sports-collectibles/3311067011/ref=zg_bs_nav_sg_sc_1_sg_sc
23,Publications & Media,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Publications-Media/zgbs/sports-collectibles/7702507011/ref=zg_bs_nav_sg_sc_1_sg_sc
24,Shoes,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Shoes/zgbs/sports-collectibles/3311068011/ref=zg_bs_nav_sg_sc_1_sg_sc
25,Stadium Components,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Stadium-Components/zgbs/sports-collectibles/5395825011/ref=zg_bs_nav_sg_sc_1_sg_sc
26,Ticket Stubs,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Ticket-Stubs/zgbs/sports-collectibles/3311069011/ref=zg_bs_nav_sg_sc_1_sg_sc
27,Trading Cards,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Trading-Cards/zgbs/sports-collectibles/3311070011/ref=zg_bs_nav_sg_sc_1_sg_sc
28,Trophies,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Trophies/zgbs/sports-collectibles/5395823011/ref=zg_bs_nav_sg_sc_1_sg_sc
