,category,URL
0,Air Tools,https://www.amazon.com/Best-Sellers-Home-Improvement-Air-Powered-Tools/zgbs/hi/552684/ref=zg_bs_nav_hi_1_hi
1,Appliances,https://www.amazon.com/Best-Sellers-Home-Improvement-Appliances/zgbs/hi/13397451/ref=zg_bs_nav_hi_1_hi
2,Building Supplies,https://www.amazon.com/Best-Sellers-Home-Improvement-Building-Supplies/zgbs/hi/551240/ref=zg_bs_nav_hi_1_hi
3,Electrical,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Equipment/zgbs/hi/495266/ref=zg_bs_nav_hi_1_hi
4,Hardware,https://www.amazon.com/Best-Sellers-Home-Improvement-Hardware/zgbs/hi/511228/ref=zg_bs_nav_hi_1_hi
5,Kitchen & Bath Fixtures,https://www.amazon.com/Best-Sellers-Home-Improvement-Kitchen-Bath-Fixtures/zgbs/hi/3754161/ref=zg_bs_nav_hi_1_hi
6,Lighting & Ceiling Fans,https://www.amazon.com/Best-Sellers-Home-Improvement-Lighting-Ceiling-Fans/zgbs/hi/495224/ref=zg_bs_nav_hi_1_hi
7,Measuring & Layout Tools,https://www.amazon.com/Best-Sellers-Home-Improvement-Measuring-Layout/zgbs/hi/553244/ref=zg_bs_nav_hi_1_hi
8,"Paint, Wall Treatments & Supplies",https://www.amazon.com/Best-Sellers-Home-Improvement-Paint-Wall-Treatments-Supplies/zgbs/hi/228899/ref=zg_bs_nav_hi_1_hi
9,Power & Hand Tools,https://www.amazon.com/Best-Sellers-Home-Improvement-Power-Tools-Hand/zgbs/hi/328182011/ref=zg_bs_nav_hi_1_hi
10,Rough Plumbing,https://www.amazon.com/Best-Sellers-Home-Improvement-Pumps-Plumbing-Equipment/zgbs/hi/13749581/ref=zg_bs_nav_hi_1_hi
11,Safety & Security,https://www.amazon.com/Best-Sellers-Home-Improvement-Safety-Security/zgbs/hi/3180231/ref=zg_bs_nav_hi_1_hi
12,Storage & Home Organization,https://www.amazon.com/Best-Sellers-Home-Improvement-Storage-Organization/zgbs/hi/13400631/ref=zg_bs_nav_hi_1_hi
