,category,URL
0,Mac Games,https://www.amazon.com/Best-Sellers-Video-Games-Mac-Accessories/zgbs/videogames/229647/ref=zg_bs_nav_vg_1_vg
1,Microconsoles,https://www.amazon.com/Best-Sellers-Video-Games-Microconsoles/zgbs/videogames/19497043011/ref=zg_bs_nav_vg_1_vg
2,More Systems,https://www.amazon.com/Best-Sellers-Video-Games-Legacy-Systems/zgbs/videogames/294940/ref=zg_bs_nav_vg_1_vg
3,Nintendo 3DS,https://www.amazon.com/Best-Sellers-Video-Games-Nintendo-3DS-2DS-Consoles-Accessories/zgbs/videogames/2622269011/ref=zg_bs_nav_vg_1_vg
4,Nintendo DS,https://www.amazon.com/Best-Sellers-Video-Games-Nintendo-DS-Consoles-Accessories/zgbs/videogames/11075831/ref=zg_bs_nav_vg_1_vg
5,Nintendo Switch,https://www.amazon.com/Best-Sellers-Video-Games-Nintendo-Switch-Consoles-Accessories/zgbs/videogames/16227128011/ref=zg_bs_nav_vg_1_vg
6,PC Games,https://www.amazon.com/Best-Sellers-Video-Games-PC-Accessories/zgbs/videogames/229575/ref=zg_bs_nav_vg_1_vg
7,PlayStation 3,https://www.amazon.com/Best-Sellers-Video-Games-PlayStation-Consoles-Accessories/zgbs/videogames/14210751/ref=zg_bs_nav_vg_1_vg
8,PlayStation 4,https://www.amazon.com/Best-Sellers-Video-Games-PlayStation-Consoles-Accessories/zgbs/videogames/6427814011/ref=zg_bs_nav_vg_1_vg
9,PlayStation 5,https://www.amazon.com/Best-Sellers-Video-Games-PlayStation-Consoles-Accessories/zgbs/videogames/20972781011/ref=zg_bs_nav_vg_1_vg
10,PlayStation Vita,https://www.amazon.com/Best-Sellers-Video-Games-PlayStation-Vita-Consoles-Accessories/zgbs/videogames/3010556011/ref=zg_bs_nav_vg_1_vg
11,Sony PSP,https://www.amazon.com/Best-Sellers-Video-Games-Sony-PSP-Consoles-Accessories/zgbs/videogames/11075221/ref=zg_bs_nav_vg_1_vg
12,Wii,https://www.amazon.com/Best-Sellers-Video-Games-Wii-Consoles-Accessories/zgbs/videogames/14218901/ref=zg_bs_nav_vg_1_vg
13,Wii U,https://www.amazon.com/Best-Sellers-Video-Games-Wii-Consoles-Accessories/zgbs/videogames/3075112011/ref=zg_bs_nav_vg_1_vg
14,Xbox 360,https://www.amazon.com/Best-Sellers-Video-Games-Xbox-360-Consoles-Accessories/zgbs/videogames/14220161/ref=zg_bs_nav_vg_1_vg
15,Xbox One,https://www.amazon.com/Best-Sellers-Video-Games-Xbox-One-Consoles-Accessories/zgbs/videogames/6469269011/ref=zg_bs_nav_vg_1_vg
16,Xbox Series X,https://www.amazon.com/Best-Sellers-Video-Games-Xbox-Consoles-Accessories/zgbs/videogames/20972798011/ref=zg_bs_nav_vg_1_vg
