,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_281407_1
1,Audio & Video Accessories,https://www.amazon.com/Best-Sellers-Electronics-Audio-Video-Accessories/zgbs/electronics/172532/ref=zg_bs_nav_e_2_281407
2,Camera & Photo Accessories,https://www.amazon.com/Best-Sellers-Electronics-Camera-Photo-Accessories/zgbs/electronics/172435/ref=zg_bs_nav_e_2_281407
3,Cell Phone Accessories,https://www.amazon.com/Best-Sellers-Electronics-Cell-Phone-Accessories/zgbs/electronics/2407755011/ref=zg_bs_nav_e_2_281407
4,Computer Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computer-Accessories-Peripherals/zgbs/electronics/172456/ref=zg_bs_nav_e_2_281407
5,GPS System Accessories,https://www.amazon.com/Best-Sellers-Electronics-GPS-System-Accessories/zgbs/electronics/559942/ref=zg_bs_nav_e_2_281407
6,Home Audio Accessories,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Accessories/zgbs/electronics/3236443011/ref=zg_bs_nav_e_2_281407
7,Office Electronics Accessories,https://www.amazon.com/Best-Sellers-Electronics-Office-Accessories/zgbs/electronics/172575/ref=zg_bs_nav_e_2_281407
8,Vehicle Electronics Accessories,https://www.amazon.com/Best-Sellers-Electronics-Car-Accessories/zgbs/electronics/10981291/ref=zg_bs_nav_e_2_281407
9,Power Strips & Surge Protectors,https://www.amazon.com/Best-Sellers-Electronics-Power-Strips-Surge-Protectors/zgbs/electronics/17854127011/ref=zg_bs_nav_e_2_281407
10,Telephone Accessories,https://www.amazon.com/Best-Sellers-Electronics-Telephone-Accessories/zgbs/electronics/172607/ref=zg_bs_nav_e_2_281407
11,Television Accessories,https://www.amazon.com/Best-Sellers-Electronics-TV-Accessories/zgbs/electronics/3230976011/ref=zg_bs_nav_e_2_281407
12,Blank Media,https://www.amazon.com/Best-Sellers-Electronics-Blank-Media-Products/zgbs/electronics/281408/ref=zg_bs_nav_e_2_281407
13,Cables,https://www.amazon.com/Best-Sellers-Electronics-Cables/zgbs/electronics/12954861/ref=zg_bs_nav_e_2_281407
14,Mounts,https://www.amazon.com/Best-Sellers-Electronics-Mounts/zgbs/electronics/10966911/ref=zg_bs_nav_e_2_281407
15,Installation Services,https://www.amazon.com/Best-Sellers-Electronics-Consumer-Installation-Services/zgbs/electronics/2632817011/ref=zg_bs_nav_e_2_281407
16,Microphones,https://www.amazon.com/Best-Sellers-Electronics-Recording-Microphones-Accessories/zgbs/electronics/11974521/ref=zg_bs_nav_e_2_281407
17,Power Protection,https://www.amazon.com/Best-Sellers-Electronics-Power-Protection-Products/zgbs/electronics/2223901011/ref=zg_bs_nav_e_2_281407
18,Cord Management,https://www.amazon.com/Best-Sellers-Electronics-Electrical-Cord-Management/zgbs/electronics/11042051/ref=zg_bs_nav_e_2_281407
19,Cable Organizer Bags & Cases,https://www.amazon.com/Best-Sellers-Electronics-Cable-Organizer-Bags-Cases/zgbs/electronics/290458/ref=zg_bs_nav_e_2_281407
