,category,URL
0,Cell Phones & Accessories,https://www.amazon.com/Best-Sellers/zgbs/wireless/ref=zg_bs_unv_1_2407755011_1
1,Adhesive Card Holders,https://www.amazon.com/Best-Sellers-Cell-Phone-Adhesive-Card-Holders/zgbs/wireless/21209106011/ref=zg_bs_nav_2_2407755011
2,Automobile Accessories,https://www.amazon.com/Best-Sellers-Cell-Phone-Automobile-Accessories/zgbs/wireless/2407759011/ref=zg_bs_nav_2_2407755011
3,Cables & Adapters,https://www.amazon.com/Best-Sellers-Cell-Phone-Cables-Adapters/zgbs/wireless/21209107011/ref=zg_bs_nav_2_2407755011
4,Camera Privacy Covers,https://www.amazon.com/Best-Sellers-Camera-Privacy-Covers/zgbs/wireless/21103668011/ref=zg_bs_nav_2_2407755011
5,Chargers & Power Adapters,https://www.amazon.com/Best-Sellers-Cell-Phone-Chargers-Power-Adapters/zgbs/wireless/2407761011/ref=zg_bs_nav_2_2407755011
6,Décor,https://www.amazon.com/Best-Sellers-Cell-Phone-Décor/zgbs/wireless/21209101011/ref=zg_bs_nav_2_2407755011
7,Finders,https://www.amazon.com/Best-Sellers-Item-Finders/zgbs/wireless/18022313011/ref=zg_bs_nav_2_2407755011
8,Gaming Accessories,https://www.amazon.com/Best-Sellers-Cell-Phone-Gaming-Accessories/zgbs/wireless/21209102011/ref=zg_bs_nav_2_2407755011
9,Grips,https://www.amazon.com/Best-Sellers-Cell-Phone-Grips/zgbs/wireless/21209098011/ref=zg_bs_nav_2_2407755011
10,Headphones,https://www.amazon.com/Best-Sellers-Audio-Headphones/zgbs/wireless/172541/ref=zg_bs_nav_2_2407755011
11,Lanyards & Wrist Straps,https://www.amazon.com/Best-Sellers-Cell-Phone-Lanyards-Wrist-Straps/zgbs/wireless/21209103011/ref=zg_bs_nav_2_2407755011
12,"Maintenance, Upkeep & Repairs",https://www.amazon.com/Best-Sellers-Cell-Phone-Maintenance-Upkeep-Repairs/zgbs/wireless/21209105011/ref=zg_bs_nav_2_2407755011
13,MicroSD Cards,https://www.amazon.com/Best-Sellers-Micro-SD-Memory-Cards/zgbs/wireless/3015433011/ref=zg_bs_nav_2_2407755011
14,Photo & Video Accessories,https://www.amazon.com/Best-Sellers-Cell-Phone-Photo-Video-Accessories/zgbs/wireless/21209100011/ref=zg_bs_nav_2_2407755011
15,Portable Speakers & Audio Docks,https://www.amazon.com/Best-Sellers-Portable-Cell-Phone-MP3-Player-Speakers-Audio-Docks/zgbs/wireless/689637011/ref=zg_bs_nav_2_2407755011
16,Screen Expanders & Magnifiers,https://www.amazon.com/Best-Sellers-Cell-Phone-Screen-Expanders-Magnifiers/zgbs/wireless/21209099011/ref=zg_bs_nav_2_2407755011
17,Signal Boosters,https://www.amazon.com/Best-Sellers-Cell-Phone-Signal-Boosters/zgbs/wireless/2407782011/ref=zg_bs_nav_2_2407755011
18,Single Ear Bluetooth Headsets,https://www.amazon.com/Best-Sellers-Single-Ear-Bluetooth-Cell-Phone-Headsets/zgbs/wireless/18021376011/ref=zg_bs_nav_2_2407755011
19,Smartwatch Accessories,https://www.amazon.com/Best-Sellers-Smartwatch-Accessories/zgbs/wireless/7939902011/ref=zg_bs_nav_2_2407755011
20,Smartwatches,https://www.amazon.com/Best-Sellers-Smartwatches/zgbs/wireless/7939901011/ref=zg_bs_nav_2_2407755011
21,Stands,https://www.amazon.com/Best-Sellers-Cell-Phone-Stands/zgbs/wireless/7073961011/ref=zg_bs_nav_2_2407755011
22,Styluses,https://www.amazon.com/Best-Sellers-Styluses/zgbs/wireless/11548954011/ref=zg_bs_nav_2_2407755011
23,UV Phone Sterilizer Boxes,https://www.amazon.com/Best-Sellers-UV-Phone-Sterilizer-Boxes/zgbs/wireless/21268231011/ref=zg_bs_nav_2_2407755011
24,Virtual Reality (VR) Headsets,https://www.amazon.com/Best-Sellers-Cell-Phone-Virtual-Reality-VR-Headsets/zgbs/wireless/14775002011/ref=zg_bs_nav_2_2407755011
