,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_256225011_1
1,Adhesive Accelerators,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Adhesive-Accelerators/zgbs/industrial/401522011/ref=zg_bs_nav_indust_2_256225011
2,Adhesive Dispensers & Accessories,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Adhesive-Dispensers-Accessories/zgbs/industrial/14138146011/ref=zg_bs_nav_indust_2_256225011
3,Adhesive Dots,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Adhesive-Dots/zgbs/industrial/401523011/ref=zg_bs_nav_indust_2_256225011
4,Adhesive Primers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Adhesive-Primers/zgbs/industrial/401524011/ref=zg_bs_nav_indust_2_256225011
5,Adhesive Tapes,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Adhesive-Tapes/zgbs/industrial/256159011/ref=zg_bs_nav_indust_2_256225011
6,Aerosol Adhesives,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Aerosol-Adhesives/zgbs/industrial/401541011/ref=zg_bs_nav_indust_2_256225011
7,Anti-Seizes,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Anti-Seizes/zgbs/industrial/401525011/ref=zg_bs_nav_indust_2_256225011
8,Catalysts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Catalysts/zgbs/industrial/401526011/ref=zg_bs_nav_indust_2_256225011
9,Caulk,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Caulk/zgbs/industrial/256233011/ref=zg_bs_nav_indust_2_256225011
10,Coatings,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Coatings/zgbs/industrial/16413451/ref=zg_bs_nav_indust_2_256225011
11,Contact Cements,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Contact-Cements/zgbs/industrial/256242011/ref=zg_bs_nav_indust_2_256225011
12,Cyanoacrylate Adhesives,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Cyanoacrylate-Adhesives/zgbs/industrial/256243011/ref=zg_bs_nav_indust_2_256225011
13,Epoxy Adhesives,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Epoxy-Adhesives/zgbs/industrial/256244011/ref=zg_bs_nav_indust_2_256225011
14,Hot Glue Sticks,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Craft-Glue-Gun-Sticks/zgbs/industrial/705364011/ref=zg_bs_nav_indust_2_256225011
15,Industrial Adhesives,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Adhesives/zgbs/industrial/19619894011/ref=zg_bs_nav_indust_2_256225011
16,Industrial Lubricants,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Lubricants/zgbs/industrial/401536011/ref=zg_bs_nav_indust_2_256225011
17,Industrial Sealants,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Sealants/zgbs/industrial/401538011/ref=zg_bs_nav_indust_2_256225011
18,Light Cure Pens,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Light-Cure-Pens/zgbs/industrial/401537011/ref=zg_bs_nav_indust_2_256225011
19,Retaining Compounds,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retaining-Compounds/zgbs/industrial/256231011/ref=zg_bs_nav_indust_2_256225011
20,Silicone Adhesives,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Silicone-Adhesives/zgbs/industrial/256251011/ref=zg_bs_nav_indust_2_256225011
