,category,URL
0,Digital Music,https://www.amazon.com/Best-Sellers-MP3-Downloads/zgbs/dmusic/ref=zg_bs_unv_dmusic_1_digital-music-album_1
1,Alternative Rock,https://www.amazon.com/Best-Sellers-MP3-Downloads-Alternative-Rock/zgbs/dmusic/195212011/ref=zg_bs_nav_dmusic_2_digital-music-album
2,Blues,https://www.amazon.com/Best-Sellers-MP3-Downloads-Blues/zgbs/dmusic/195223011/ref=zg_bs_nav_dmusic_2_digital-music-album
3,Broadway & Vocalists,https://www.amazon.com/Best-Sellers-MP3-Downloads-Broadway-Vocalists/zgbs/dmusic/195235011/ref=zg_bs_nav_dmusic_2_digital-music-album
4,Children's Music,https://www.amazon.com/Best-Sellers-MP3-Downloads-Childrens-Music/zgbs/dmusic/195239011/ref=zg_bs_nav_dmusic_2_digital-music-album
5,Christian,https://www.amazon.com/Best-Sellers-MP3-Downloads-Christian/zgbs/dmusic/195244011/ref=zg_bs_nav_dmusic_2_digital-music-album
6,Classic Rock,https://www.amazon.com/Best-Sellers-MP3-Downloads-Classic-Rock/zgbs/dmusic/195254011/ref=zg_bs_nav_dmusic_2_digital-music-album
7,Classical,https://www.amazon.com/Best-Sellers-MP3-Downloads-Classical/zgbs/dmusic/195264011/ref=zg_bs_nav_dmusic_2_digital-music-album
8,Country,https://www.amazon.com/Best-Sellers-MP3-Downloads-Country/zgbs/dmusic/195311011/ref=zg_bs_nav_dmusic_2_digital-music-album
9,Dance & Electronic,https://www.amazon.com/Best-Sellers-MP3-Downloads-Dance-Electronic/zgbs/dmusic/195322011/ref=zg_bs_nav_dmusic_2_digital-music-album
10,Folk,https://www.amazon.com/Best-Sellers-MP3-Downloads-Folk/zgbs/dmusic/195336011/ref=zg_bs_nav_dmusic_2_digital-music-album
11,Gospel,https://www.amazon.com/Best-Sellers-MP3-Downloads-Gospel/zgbs/dmusic/6127487011/ref=zg_bs_nav_dmusic_2_digital-music-album
12,Hard Rock & Metal,https://www.amazon.com/Best-Sellers-MP3-Downloads-Hard-Rock-Metal/zgbs/dmusic/195343011/ref=zg_bs_nav_dmusic_2_digital-music-album
13,International,https://www.amazon.com/Best-Sellers-MP3-Downloads-International/zgbs/dmusic/195352011/ref=zg_bs_nav_dmusic_2_digital-music-album
14,Jazz,https://www.amazon.com/Best-Sellers-MP3-Downloads-Jazz/zgbs/dmusic/195368011/ref=zg_bs_nav_dmusic_2_digital-music-album
15,Latin Music,https://www.amazon.com/Best-Sellers-MP3-Downloads-Latin-Music/zgbs/dmusic/195385011/ref=zg_bs_nav_dmusic_2_digital-music-album
16,Miscellaneous,https://www.amazon.com/Best-Sellers-MP3-Downloads-Miscellaneous/zgbs/dmusic/196371011/ref=zg_bs_nav_dmusic_2_digital-music-album
17,New Age,https://www.amazon.com/Best-Sellers-MP3-Downloads-New-Age/zgbs/dmusic/196367011/ref=zg_bs_nav_dmusic_2_digital-music-album
18,Opera & Vocal,https://www.amazon.com/Best-Sellers-MP3-Downloads-Opera-Vocal/zgbs/dmusic/195391011/ref=zg_bs_nav_dmusic_2_digital-music-album
19,Pop,https://www.amazon.com/Best-Sellers-MP3-Downloads-Pop/zgbs/dmusic/195407011/ref=zg_bs_nav_dmusic_2_digital-music-album
20,R&B,https://www.amazon.com/Best-Sellers-MP3-Downloads-R-B/zgbs/dmusic/195419011/ref=zg_bs_nav_dmusic_2_digital-music-album
21,Rap & Hip-Hop,https://www.amazon.com/Best-Sellers-MP3-Downloads-Rap-Hip-Hop/zgbs/dmusic/195430011/ref=zg_bs_nav_dmusic_2_digital-music-album
22,Rock,https://www.amazon.com/Best-Sellers-MP3-Downloads-Rock/zgbs/dmusic/195441011/ref=zg_bs_nav_dmusic_2_digital-music-album
23,Soundtracks,https://www.amazon.com/Best-Sellers-MP3-Downloads-Soundtracks/zgbs/dmusic/195455011/ref=zg_bs_nav_dmusic_2_digital-music-album
