,category,URL
0,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers/zgbs/amazon-devices/ref=zg_bs_unv_1_370783011_1/142-0097083-0908436
1,Adapters & Connectors,https://www.amazon.com/Best-Sellers-Amazon-Device-Adapters-Connectors/zgbs/amazon-devices/17942903011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
2,Audio,https://www.amazon.com/Best-Sellers-Amazon-Device-Audio-Accessories/zgbs/amazon-devices/1289283011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
3,Bases & Stands,https://www.amazon.com/Best-Sellers-Amazon-Device-Bases-Stands/zgbs/amazon-devices/16956974011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
4,Clocks,https://www.amazon.com/Best-Sellers-Clocks/zgbs/amazon-devices/21579956011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
5,Controllers & Remote Controls,https://www.amazon.com/Best-Sellers-Controllers-Remote-Controls/zgbs/amazon-devices/16926004011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
6,Covers,https://www.amazon.com/Best-Sellers-All-Kindle-Covers/zgbs/amazon-devices/1288346011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
7,Home Security Decals & Signs,https://www.amazon.com/Best-Sellers-Home-Security-Decals-Signs/zgbs/amazon-devices/17942905011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
8,Keyboards,https://www.amazon.com/Best-Sellers-Amazon-Device-Keyboards/zgbs/amazon-devices/16958810011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
9,Memory Cards,https://www.amazon.com/Best-Sellers-Amazon-Device-Memory-Cards/zgbs/amazon-devices/10871379011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
10,Mounts,https://www.amazon.com/Best-Sellers-Amazon-Device-Mounts/zgbs/amazon-devices/16956975011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
11,Power Supplies & Chargers,https://www.amazon.com/Best-Sellers-Power-Supplies-Chargers/zgbs/amazon-devices/1289282011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
12,Protection Plans,https://www.amazon.com/Best-Sellers-All-Kindle-Protection-Plans/zgbs/amazon-devices/1292074011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
13,Reading Lights,https://www.amazon.com/Best-Sellers-All-Kindle-Reading-Lights/zgbs/amazon-devices/1289281011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
14,Screen Protectors,https://www.amazon.com/Best-Sellers-Kindle-Screen-Protectors/zgbs/amazon-devices/2642143011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
15,Skins,https://www.amazon.com/Best-Sellers-All-Kindle-Skins/zgbs/amazon-devices/1288347011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
16,Sleeves,https://www.amazon.com/Best-Sellers-All-Kindle-Sleeves/zgbs/amazon-devices/2641859011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
17,Styluses,https://www.amazon.com/Best-Sellers-Kindle-Styluses/zgbs/amazon-devices/5499877011/ref=zg_bs_nav_2_370783011/142-0097083-0908436
