,category,URL
0,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers/zgbs/amazon-devices/ref=zg_bs_unv_1_2102313011_1
1,Smart Home Security & Lighting,https://www.amazon.com/Best-Sellers-Smart-Home-Security-Lighting/zgbs/amazon-devices/17386948011/ref=zg_bs_nav_2_2102313011
2,Echo Smart Speakers & Displays,https://www.amazon.com/Best-Sellers-Echo-Smart-Speakers-Displays/zgbs/amazon-devices/9818047011/ref=zg_bs_nav_2_2102313011
3,Fire TV,https://www.amazon.com/Best-Sellers-Fire-TV/zgbs/amazon-devices/8521791011/ref=zg_bs_nav_2_2102313011
4,Fire Tablets,https://www.amazon.com/Best-Sellers-Fire-Tablets/zgbs/amazon-devices/6669703011/ref=zg_bs_nav_2_2102313011
5,Home Wi-Fi & Networking,https://www.amazon.com/Best-Sellers-Home-Wi-Fi-Networking/zgbs/amazon-devices/21579960011/ref=zg_bs_nav_2_2102313011
6,Kindle E-readers,https://www.amazon.com/Best-Sellers-Kindle-readers/zgbs/amazon-devices/6669702011/ref=zg_bs_nav_2_2102313011
7,Programmable Devices,https://www.amazon.com/Best-Sellers-Programmable-Devices/zgbs/amazon-devices/21579957011/ref=zg_bs_nav_2_2102313011
8,Smart Appliances,https://www.amazon.com/Best-Sellers-Smart-Appliances/zgbs/amazon-devices/21579959011/ref=zg_bs_nav_2_2102313011
9,Device Bundles,https://www.amazon.com/Best-Sellers-Amazon-Device-Bundles/zgbs/amazon-devices/16926003011/ref=zg_bs_nav_2_2102313011
10,Wearable Technology,https://www.amazon.com/Best-Sellers-Wearable-Technology/zgbs/amazon-devices/21579958011/ref=zg_bs_nav_2_2102313011
