,category,URL
0,Tools & Home Improvement,https://www.amazon.com/Best-Sellers-Home-Improvement/zgbs/hi/ref=zg_bs_unv_hi_1_13397451_1
1,Air Conditioners & Accessories,https://www.amazon.com/Best-Sellers-Home-Improvement-Room-Air-Conditioners-Accessories/zgbs/hi/19149191011/ref=zg_bs_nav_hi_2_13397451
2,Cooktops,https://www.amazon.com/Best-Sellers-Home-Improvement-Cooktops/zgbs/hi/3741261/ref=zg_bs_nav_hi_2_13397451
3,Dishwashers,https://www.amazon.com/Best-Sellers-Home-Improvement-Dishwashers/zgbs/hi/3741271/ref=zg_bs_nav_hi_2_13397451
4,Freezers,https://www.amazon.com/Best-Sellers-Home-Improvement-Freezers/zgbs/hi/3741331/ref=zg_bs_nav_hi_2_13397451
5,Furnace Filters,https://www.amazon.com/Best-Sellers-Home-Improvement-Furnace-Filters/zgbs/hi/13399891/ref=zg_bs_nav_hi_2_13397451
6,Large Appliance Accessories,https://www.amazon.com/Best-Sellers-Home-Improvement-Parts-Accessories/zgbs/hi/3741181/ref=zg_bs_nav_hi_2_13397451
7,Range Hoods,https://www.amazon.com/Best-Sellers-Home-Improvement-Range-Hoods/zgbs/hi/3741441/ref=zg_bs_nav_hi_2_13397451
8,Ranges,https://www.amazon.com/Best-Sellers-Home-Improvement-Ranges/zgbs/hi/3741411/ref=zg_bs_nav_hi_2_13397451
9,Refrigerator Filters,https://www.amazon.com/Best-Sellers-Home-Improvement-Refrigerator-Water-Filters/zgbs/hi/3741161/ref=zg_bs_nav_hi_2_13397451
10,Refrigerators,https://www.amazon.com/Best-Sellers-Home-Improvement-Refrigerators/zgbs/hi/3741361/ref=zg_bs_nav_hi_2_13397451
11,Trash Compactors,https://www.amazon.com/Best-Sellers-Home-Improvement-Trash-Compactors/zgbs/hi/3741451/ref=zg_bs_nav_hi_2_13397451
12,Wall Ovens,https://www.amazon.com/Best-Sellers-Home-Improvement-Wall-Ovens/zgbs/hi/3741481/ref=zg_bs_nav_hi_2_13397451
13,Washers & Dryers,https://www.amazon.com/Best-Sellers-Home-Improvement-Washers-Dryers/zgbs/hi/2383576011/ref=zg_bs_nav_hi_2_13397451
14,Wine Cellars,https://www.amazon.com/Best-Sellers-Home-Improvement-Wine-Cellars/zgbs/hi/3741521/ref=zg_bs_nav_hi_2_13397451
