,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_166057011_1
1,Adhesives,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Arts-Crafts-Adhesives/zgbs/toys-and-games/166083011/ref=zg_bs_nav_t_2_166057011
2,Aprons & Smocks,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Artist-Aprons-Smocks/zgbs/toys-and-games/166058011/ref=zg_bs_nav_t_2_166057011
3,Clay & Dough,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Art-Clay-Dough/zgbs/toys-and-games/166063011/ref=zg_bs_nav_t_2_166057011
4,Craft Kits,https://www.amazon.com/Best-Sellers-Toys-Games-Craft-Kits/zgbs/toys-and-games/166064011/ref=zg_bs_nav_t_2_166057011
5,Drawing & Painting Supplies,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Drawing-Painting-Supplies/zgbs/toys-and-games/2488275011/ref=zg_bs_nav_t_2_166057011
6,Drawing & Writing Boards,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Drawing-Writing-Boards/zgbs/toys-and-games/19431267011/ref=zg_bs_nav_t_2_166057011
7,Easels,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Easels/zgbs/toys-and-games/166081011/ref=zg_bs_nav_t_2_166057011
8,Fuse & Perler Beads,https://www.amazon.com/Best-Sellers-Toys-Games-Fuse-Perler-Beads/zgbs/toys-and-games/8090778011/ref=zg_bs_nav_t_2_166057011
9,Pipe Cleaners,https://www.amazon.com/Best-Sellers-Toys-Games-Craft-Pipe-Cleaners/zgbs/toys-and-games/8090830011/ref=zg_bs_nav_t_2_166057011
10,Printing & Stamping,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Printing-Stamping-Supplies/zgbs/toys-and-games/2488617011/ref=zg_bs_nav_t_2_166057011
11,Scissors,https://www.amazon.com/Best-Sellers-Toys-Games-Students-Round-Edge-Scissors/zgbs/toys-and-games/1084736/ref=zg_bs_nav_t_2_166057011
12,Stickers,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Stickers/zgbs/toys-and-games/676735011/ref=zg_bs_nav_t_2_166057011
