,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_1_1
1,Architecture,https://www.amazon.com/Best-Sellers-Books-Architecture/zgbs/books/173508/ref=zg_bs_nav_b_2_1
2,Business of Art,https://www.amazon.com/Best-Sellers-Books-Business-Art-Reference/zgbs/books/1835/ref=zg_bs_nav_b_2_1
3,"Collections, Catalogs & Exhibitions",https://www.amazon.com/Best-Sellers-Books-Collections-Catalogs-Exhibitions/zgbs/books/1525/ref=zg_bs_nav_b_2_1
4,Decorative Arts & Design,https://www.amazon.com/Best-Sellers-Books-Design-Decorative-Arts/zgbs/books/336832011/ref=zg_bs_nav_b_2_1
5,Drawing,https://www.amazon.com/Best-Sellers-Books-Drawing/zgbs/books/1855/ref=zg_bs_nav_b_2_1
6,Fashion,https://www.amazon.com/Best-Sellers-Books-Fashion/zgbs/books/1862/ref=zg_bs_nav_b_2_1
7,Graphic Design,https://www.amazon.com/Best-Sellers-Books-Graphic-Design/zgbs/books/1829/ref=zg_bs_nav_b_2_1
8,History & Criticism,https://www.amazon.com/Best-Sellers-Books-Art-History-Criticism/zgbs/books/1064/ref=zg_bs_nav_b_2_1
9,Individual Artists,https://www.amazon.com/Best-Sellers-Books-Individual-Artists/zgbs/books/1104/ref=zg_bs_nav_b_2_1
10,Man-Made Objects,https://www.amazon.com/Best-Sellers-Books-Man-Made-Objects-Art/zgbs/books/7976024011/ref=zg_bs_nav_b_2_1
11,Music,https://www.amazon.com/Best-Sellers-Books-Music/zgbs/books/4507/ref=zg_bs_nav_b_2_1
12,Other Media,https://www.amazon.com/Best-Sellers-Books-Other-Art-Media/zgbs/books/520982/ref=zg_bs_nav_b_2_1
13,Painting,https://www.amazon.com/Best-Sellers-Books-Painting/zgbs/books/1876/ref=zg_bs_nav_b_2_1
14,Performing Arts,https://www.amazon.com/Best-Sellers-Books-Performing-Arts/zgbs/books/521000/ref=zg_bs_nav_b_2_1
15,Photography & Video,https://www.amazon.com/Best-Sellers-Books-Photography-Video/zgbs/books/2020/ref=zg_bs_nav_b_2_1
16,Religious,https://www.amazon.com/Best-Sellers-Books-Religious-Arts-Photography/zgbs/books/1873/ref=zg_bs_nav_b_2_1
17,Sculpture,https://www.amazon.com/Best-Sellers-Books-Sculpture/zgbs/books/2106/ref=zg_bs_nav_b_2_1
18,Study & Teaching,https://www.amazon.com/Best-Sellers-Books-Arts-Photography-Study-Teaching/zgbs/books/1836/ref=zg_bs_nav_b_2_1
