,category,URL
0,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Garden-Outdoor/zgbs/lawn-garden/ref=zg_bs_unv_lg_1_13400231_3
1,Gardening,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Gardening-Lawn-Care/zgbs/lawn-garden/3610851/ref=zg_bs_unv_lg_2_13400231_2
2,Watering Equipment,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Lawn-Watering-Equipment/zgbs/lawn-garden/553958/ref=zg_bs_unv_lg_3_13400231_1
3,Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Automatic-Irrigation-Accessories/zgbs/lawn-garden/13400241/ref=zg_bs_nav_lg_4_13400231
4,Drip Irrigation Kits,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Automatic-Drip-Irrigation-Kits/zgbs/lawn-garden/13400251/ref=zg_bs_nav_lg_4_13400231
5,Drippers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Automatic-Irrigation-Drippers/zgbs/lawn-garden/3480700011/ref=zg_bs_nav_lg_4_13400231
6,Irrigation System Controllers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Automatic-Irrigation-Controllers/zgbs/lawn-garden/3480701011/ref=zg_bs_nav_lg_4_13400231
7,Irrigation Tubing,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Automatic-Irrigation-Tubing/zgbs/lawn-garden/13400261/ref=zg_bs_nav_lg_4_13400231
8,Sprinkler Heads,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Automatic-Irrigation-Sprinkler-Heads/zgbs/lawn-garden/3480702011/ref=zg_bs_nav_lg_4_13400231
9,Underground Sprinkler Systems,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Automatic-Underground-Sprinkler-Systems/zgbs/lawn-garden/13400281/ref=zg_bs_nav_lg_4_13400231
