,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_196601011_1
1,Activity Centers,https://www.amazon.com/Best-Sellers-Toys-Games-Baby-Stationary-Activity-Centers/zgbs/toys-and-games/21315185011/ref=zg_bs_nav_t_2_196601011
2,Balls,https://www.amazon.com/Best-Sellers-Toys-Games-Balls-Babies-Toddlers/zgbs/toys-and-games/2522032011/ref=zg_bs_nav_t_2_196601011
3,Bath Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Bathtub/zgbs/toys-and-games/330390011/ref=zg_bs_nav_t_2_196601011
4,Car Seat & Stroller Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Baby-Car-Stroller/zgbs/toys-and-games/196604011/ref=zg_bs_nav_t_2_196601011
5,Early Development & Activity Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Early-Development-Activity/zgbs/toys-and-games/21490695011/ref=zg_bs_nav_t_2_196601011
6,Indoor Climbers & Play Structures,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Indoor-Climbers-Play-Structures/zgbs/toys-and-games/1243731011/ref=zg_bs_nav_t_2_196601011
7,Mirrors,https://www.amazon.com/Best-Sellers-Toys-Games-Baby-Mirror/zgbs/toys-and-games/196606011/ref=zg_bs_nav_t_2_196601011
8,Musical Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Baby-Musical/zgbs/toys-and-games/196607011/ref=zg_bs_nav_t_2_196601011
9,Rattles & Plush Rings,https://www.amazon.com/Best-Sellers-Toys-Games-Baby-Rattles-Plush-Rings/zgbs/toys-and-games/196612011/ref=zg_bs_nav_t_2_196601011
10,Spinning Tops,https://www.amazon.com/Best-Sellers-Toys-Games-Spinning-Tops/zgbs/toys-and-games/166048011/ref=zg_bs_nav_t_2_196601011
11,Stick Horses,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Stick-Horses/zgbs/toys-and-games/389860011/ref=zg_bs_nav_t_2_196601011
12,Teethers,https://www.amazon.com/Best-Sellers-Toys-Games-Baby-Teether/zgbs/toys-and-games/166861011/ref=zg_bs_nav_t_2_196601011
