,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_172437_2
1,Camera & Photo,https://www.amazon.com/Best-Sellers-Electronics-Camera-Photo/zgbs/electronics/502394/ref=zg_bs_unv_e_2_172437_1
2,Bag & Case Accessories,https://www.amazon.com/Best-Sellers-Electronics-Camera-Photo-Case-Bag-Accessories/zgbs/electronics/3346201/ref=zg_bs_nav_e_3_172437
3,Binocular Cases,https://www.amazon.com/Best-Sellers-Electronics-Binocular-Cases/zgbs/electronics/499142/ref=zg_bs_nav_e_3_172437
4,"Binocular, Camera & Camcorder Straps",https://www.amazon.com/Best-Sellers-Electronics-Binocular-Camera-Camcorder-Straps/zgbs/electronics/3345831/ref=zg_bs_nav_e_3_172437
5,Camcorder Cases,https://www.amazon.com/Best-Sellers-Electronics-Camcorder-Cases/zgbs/electronics/499234/ref=zg_bs_nav_e_3_172437
6,Camera Cases,https://www.amazon.com/Best-Sellers-Electronics-Camera-Cases/zgbs/electronics/3345931/ref=zg_bs_nav_e_3_172437
7,Filter Cases,https://www.amazon.com/Best-Sellers-Electronics-Camera-Filter-Bags-Cases/zgbs/electronics/3346191/ref=zg_bs_nav_e_3_172437
8,Lens Cases,https://www.amazon.com/Best-Sellers-Electronics-Camera-Lens-Bags-Cases/zgbs/electronics/3346101/ref=zg_bs_nav_e_3_172437
9,Telescope Cases,https://www.amazon.com/Best-Sellers-Electronics-Telescope-Cases/zgbs/electronics/3346091/ref=zg_bs_nav_e_3_172437
10,Tripod & Monopod Cases,https://www.amazon.com/Best-Sellers-Electronics-Tripod-Monopod-Cases/zgbs/electronics/3346131/ref=zg_bs_nav_e_3_172437
