,category,URL
0,"Arts, Crafts & Sewing",https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing/zgbs/arts-crafts/ref=zg_bs_unv_ac_1_12896081_1
1,Beading Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Beading-Supplies/zgbs/arts-crafts/8090707011/ref=zg_bs_nav_ac_2_12896081
2,Beads & Bead Assortments,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Beads-Bead-Assortments/zgbs/arts-crafts/12896121/ref=zg_bs_nav_ac_2_12896081
3,Charms,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Making-Charms/zgbs/arts-crafts/262595011/ref=zg_bs_nav_ac_2_12896081
4,Engraving Machines & Tools,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Making-Engraving-Machines-Tools/zgbs/arts-crafts/12896151/ref=zg_bs_nav_ac_2_12896081
5,Fusible Glass Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Fusible-Glass-Supplies/zgbs/arts-crafts/8090782011/ref=zg_bs_nav_ac_2_12896081
6,Jewelry Casting Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Casting-Supplies/zgbs/arts-crafts/8090808011/ref=zg_bs_nav_ac_2_12896081
7,Jewelry Findings,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Making-Findings/zgbs/arts-crafts/12896161/ref=zg_bs_nav_ac_2_12896081
8,Jewelry Making Display & Packaging Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Making-Display-Packaging-Supplies/zgbs/arts-crafts/8090796011/ref=zg_bs_nav_ac_2_12896081
9,Jewelry Making Kits,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Making-Kits/zgbs/arts-crafts/12896171/ref=zg_bs_nav_ac_2_12896081
10,Jewelry Making Tools & Accessories,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Making-Tools-Accessories/zgbs/arts-crafts/12896181/ref=zg_bs_nav_ac_2_12896081
11,Jewelry Patterns,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Patterns/zgbs/arts-crafts/8090806011/ref=zg_bs_nav_ac_2_12896081
12,Metal Stamping Tools,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Metal-Stamping-Tools/zgbs/arts-crafts/8090814011/ref=zg_bs_nav_ac_2_12896081
13,Polishing & Buffing,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Making-Polishing-Buffing/zgbs/arts-crafts/12896191/ref=zg_bs_nav_ac_2_12896081
14,Purse Making,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Purse-Making-Supplies/zgbs/arts-crafts/3097796011/ref=zg_bs_nav_ac_2_12896081
15,Storage,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Beading-Storage/zgbs/arts-crafts/8090936011/ref=zg_bs_nav_ac_2_12896081
16,Wax Molding Materials,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Jewelry-Making-Wax-Molding-Materials/zgbs/arts-crafts/12896201/ref=zg_bs_nav_ac_2_12896081
