,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_1063252_1
1,Bedding Sets & Collections,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bedding-Sets-Collections/zgbs/home-garden/3732131/ref=zg_bs_nav_hg_2_1063252
2,"Bedspreads, Coverlets & Sets",https://www.amazon.com/Best-Sellers-Home-Kitchen-Bedspreads-Coverlets-Sets/zgbs/home-garden/10671038011/ref=zg_bs_nav_hg_2_1063252
3,Comforters & Sets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bedding-Comforters-Sets/zgbs/home-garden/2224405011/ref=zg_bs_nav_hg_2_1063252
4,Quilts & Sets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Quilts-Sets/zgbs/home-garden/10671039011/ref=zg_bs_nav_hg_2_1063252
5,Kids' Bedding,https://www.amazon.com/Best-Sellers-Home-Kitchen-Kids-Bedding/zgbs/home-garden/1063268/ref=zg_bs_nav_hg_2_1063252
6,Nursery Bedding,https://www.amazon.com/Best-Sellers-Home-Kitchen-Nursery-Bedding/zgbs/home-garden/166742011/ref=zg_bs_nav_hg_2_1063252
7,Sheets & Pillowcases,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bedding-Sheets-Pillowcases/zgbs/home-garden/1063274/ref=zg_bs_nav_hg_2_1063252
8,Blankets & Throws,https://www.amazon.com/Best-Sellers-Home-Kitchen-Blankets-Throws/zgbs/home-garden/1063280/ref=zg_bs_nav_hg_2_1063252
9,Bed Pillows & Positioners,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bed-Pillows-Positioners/zgbs/home-garden/1199122/ref=zg_bs_nav_hg_2_1063252
10,"Decorative Pillows, Inserts & Covers",https://www.amazon.com/Best-Sellers-Home-Kitchen-Decorative-Pillows-Inserts-Covers/zgbs/home-garden/1063262/ref=zg_bs_nav_hg_2_1063252
11,Bed Canopies & Drapes,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bed-Canopies-Drapes/zgbs/home-garden/3732201/ref=zg_bs_nav_hg_2_1063252
12,Bed Runners & Scarves,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bed-Runners-Scarves/zgbs/home-garden/16175638011/ref=zg_bs_nav_hg_2_1063252
13,Bed Skirts,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bed-Skirts/zgbs/home-garden/3732211/ref=zg_bs_nav_hg_2_1063252
14,Air Mattresses & Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Air-Mattresses-Accessories/zgbs/home-garden/562190/ref=zg_bs_nav_hg_2_1063252
15,Bedding Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bedding-Accessories/zgbs/home-garden/3732231/ref=zg_bs_nav_hg_2_1063252
16,Mattress Pads & Toppers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Mattress-Pads-Toppers/zgbs/home-garden/17874224011/ref=zg_bs_nav_hg_2_1063252
17,Mattress Protectors & Encasements,https://www.amazon.com/Best-Sellers-Home-Kitchen-Mattress-Protectors-Encasements/zgbs/home-garden/17874225011/ref=zg_bs_nav_hg_2_1063252
18,Duvet Covers & Sets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bedding-Duvet-Covers-Sets/zgbs/home-garden/21404094011/ref=zg_bs_nav_hg_2_1063252
19,Duvets & Down Comforters,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bedding-Duvets-Down-Comforters/zgbs/home-garden/10671048011/ref=zg_bs_nav_hg_2_1063252
