,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_256994011_1
1,Balance Bikes,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Balance-Bikes/zgbs/toys-and-games/2492943011/ref=zg_bs_nav_t_2_256994011
2,Bike Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Bike-Accessories/zgbs/toys-and-games/13295601/ref=zg_bs_nav_t_2_256994011
3,Electric Vehicles,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Electric-Vehicles/zgbs/toys-and-games/166413011/ref=zg_bs_nav_t_2_256994011
4,Kids' Bikes,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Bicycles/zgbs/toys-and-games/1265804011/ref=zg_bs_nav_t_2_256994011
5,Kids' Helmets,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Bike-Helmets/zgbs/toys-and-games/3404641/ref=zg_bs_nav_t_2_256994011
6,Kids' Protective Gear,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Cycling-Protective-Gear/zgbs/toys-and-games/1265467011/ref=zg_bs_nav_t_2_256994011
7,Pedal Cars,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Pedal-Cars/zgbs/toys-and-games/166412011/ref=zg_bs_nav_t_2_256994011
8,Pull-Along Wagons,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Pull-Along-Wagons/zgbs/toys-and-games/166419011/ref=zg_bs_nav_t_2_256994011
9,Ride-On Toys & Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Ride-Accessories/zgbs/toys-and-games/166408011/ref=zg_bs_nav_t_2_256994011
10,Scooters & Equipment,https://www.amazon.com/Best-Sellers-Toys-Games-Scooters-Equipment/zgbs/toys-and-games/11063781/ref=zg_bs_nav_t_2_256994011
11,Skateboards,https://www.amazon.com/Best-Sellers-Toys-Games-Standard-Skateboards-Longboards/zgbs/toys-and-games/3416381/ref=zg_bs_nav_t_2_256994011
12,Skates,https://www.amazon.com/Best-Sellers-Toys-Games-Inline-Roller-Skating-Equipment/zgbs/toys-and-games/3416551/ref=zg_bs_nav_t_2_256994011
13,Tricycles,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Tricycles/zgbs/toys-and-games/3405171/ref=zg_bs_nav_t_2_256994011
14,Unicycles,https://www.amazon.com/Best-Sellers-Toys-Games-Unicycles/zgbs/toys-and-games/3405181/ref=zg_bs_nav_t_2_256994011
