,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_499320_2
1,Camera & Photo,https://www.amazon.com/Best-Sellers-Electronics-Camera-Photo/zgbs/electronics/502394/ref=zg_bs_unv_e_2_499320_1
2,Binoculars,https://www.amazon.com/Best-Sellers-Electronics-Binoculars/zgbs/electronics/297842/ref=zg_bs_nav_e_3_499320
3,Gun Scopes,https://www.amazon.com/Best-Sellers-Electronics-Gun-Scopes/zgbs/electronics/162020011/ref=zg_bs_nav_e_3_499320
4,Laser Rangefinders,https://www.amazon.com/Best-Sellers-Electronics-Laser-Rangefinders/zgbs/electronics/162019011/ref=zg_bs_nav_e_3_499320
5,Microscopes,https://www.amazon.com/Best-Sellers-Electronics-Microscopes/zgbs/electronics/499170/ref=zg_bs_nav_e_3_499320
6,Monoculars,https://www.amazon.com/Best-Sellers-Electronics-Monoculars/zgbs/electronics/3168051/ref=zg_bs_nav_e_3_499320
7,Night Vision,https://www.amazon.com/Best-Sellers-Electronics-Hunting-Night-Vision/zgbs/electronics/3304289011/ref=zg_bs_nav_e_3_499320
8,Opera Glasses,https://www.amazon.com/Best-Sellers-Electronics-Opera-Glasses/zgbs/electronics/3381367011/ref=zg_bs_nav_e_3_499320
9,Spotting Scopes,https://www.amazon.com/Best-Sellers-Electronics-Spotting-Scopes/zgbs/electronics/3168061/ref=zg_bs_nav_e_3_499320
10,Telescopes,https://www.amazon.com/Best-Sellers-Electronics-Telescopes/zgbs/electronics/281063/ref=zg_bs_nav_e_3_499320
