,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_2_1
1,Arts & Literature,https://www.amazon.com/Best-Sellers-Books-Arts-Literature-Biographies/zgbs/books/2327/ref=zg_bs_nav_b_2_2
2,Cultural & Regional,https://www.amazon.com/Best-Sellers-Books-Cultural-Regional-Biographies/zgbs/books/2365/ref=zg_bs_nav_b_2_2
3,Historical,https://www.amazon.com/Best-Sellers-Books-Historical-Biographies/zgbs/books/2376/ref=zg_bs_nav_b_2_2
4,Leaders & Notable People,https://www.amazon.com/Best-Sellers-Books-Leaders-Notable-People-Biographies/zgbs/books/2396/ref=zg_bs_nav_b_2_2
5,Memoirs,https://www.amazon.com/Best-Sellers-Books-Memoirs/zgbs/books/3048891/ref=zg_bs_nav_b_2_2
6,Professionals & Academics,https://www.amazon.com/Best-Sellers-Books-Professional-Academic-Biographies/zgbs/books/2419/ref=zg_bs_nav_b_2_2
7,Reference & Collections,https://www.amazon.com/Best-Sellers-Books-Reference-Collections-Biographies/zgbs/books/2429/ref=zg_bs_nav_b_2_2
8,Regional Canada,https://www.amazon.com/Best-Sellers-Books-Canadian-Biographies/zgbs/books/1043842/ref=zg_bs_nav_b_2_2
9,Regional U.S.,https://www.amazon.com/Best-Sellers-Books-Regional-Biographies/zgbs/books/2430/ref=zg_bs_nav_b_2_2
10,Specific Groups,https://www.amazon.com/Best-Sellers-Books-Specific-Group-Biographies/zgbs/books/2437/ref=zg_bs_nav_b_2_2
11,Sports & Outdoors,https://www.amazon.com/Best-Sellers-Books-Sports-Biographies/zgbs/books/2446/ref=zg_bs_nav_b_2_2
12,Survival,https://www.amazon.com/Best-Sellers-Books-Survival-Biographies/zgbs/books/17745785011/ref=zg_bs_nav_b_2_2
13,Travelers & Explorers,https://www.amazon.com/Best-Sellers-Books-Traveler-Explorer-Biographies/zgbs/books/300961/ref=zg_bs_nav_b_2_2
14,True Crime,https://www.amazon.com/Best-Sellers-Books-True-Crime/zgbs/books/11314/ref=zg_bs_nav_b_2_2
