,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_69724_1
1,Arts & Photography,https://www.amazon.com/Best-Sellers-Books-Arts-Photography/zgbs/books/1/ref=zg_bs_nav_b_2_69724
2,Biographies & Memoirs,https://www.amazon.com/Best-Sellers-Books-Biographies/zgbs/books/2/ref=zg_bs_nav_b_2_69724
3,Business & Money,https://www.amazon.com/Best-Sellers-Books-Business-Money/zgbs/books/3/ref=zg_bs_nav_b_2_69724
4,Calendars,https://www.amazon.com/Best-Sellers-Books-Calendars/zgbs/books/3248857011/ref=zg_bs_nav_b_2_69724
5,Children's Books,https://www.amazon.com/Best-Sellers-Books-Childrens/zgbs/books/4/ref=zg_bs_nav_b_2_69724
6,Christian Books & Bibles,https://www.amazon.com/Best-Sellers-Books-Christian-Bibles/zgbs/books/12290/ref=zg_bs_nav_b_2_69724
7,Comics & Graphic Novels,https://www.amazon.com/Best-Sellers-Books-Comics-Graphic-Novels/zgbs/books/4366/ref=zg_bs_nav_b_2_69724
8,Computers & Technology,https://www.amazon.com/Best-Sellers-Books-Computers-Technology/zgbs/books/5/ref=zg_bs_nav_b_2_69724
9,"Cookbooks, Food & Wine",https://www.amazon.com/Best-Sellers-Books-Cookbooks-Food-Wine/zgbs/books/6/ref=zg_bs_nav_b_2_69724
10,"Crafts, Hobbies & Home",https://www.amazon.com/Best-Sellers-Books-Crafts-Hobbies-Home/zgbs/books/48/ref=zg_bs_nav_b_2_69724
11,Deals in Books,https://www.amazon.com/Best-Sellers-Books-Deals/zgbs/books/45/ref=zg_bs_nav_b_2_69724
12,Education & Teaching,https://www.amazon.com/Best-Sellers-Books-Education-Teaching/zgbs/books/8975347011/ref=zg_bs_nav_b_2_69724
13,Engineering & Transportation,https://www.amazon.com/Best-Sellers-Books-Engineering-Transportation/zgbs/books/173507/ref=zg_bs_nav_b_2_69724
14,"Health, Fitness & Dieting",https://www.amazon.com/Best-Sellers-Books-Health-Fitness-Dieting/zgbs/books/10/ref=zg_bs_nav_b_2_69724
15,History,https://www.amazon.com/Best-Sellers-Books-History/zgbs/books/9/ref=zg_bs_nav_b_2_69724
16,Humor & Entertainment,https://www.amazon.com/Best-Sellers-Books-Humor-Entertainment/zgbs/books/86/ref=zg_bs_nav_b_2_69724
17,Law,https://www.amazon.com/Best-Sellers-Books-Law/zgbs/books/10777/ref=zg_bs_nav_b_2_69724
18,"Lesbian, Gay, Bisexual & Transgender Books",https://www.amazon.com/Best-Sellers-Books-LGBTQ/zgbs/books/301889/ref=zg_bs_nav_b_2_69724
19,Libros en español,https://www.amazon.com/Best-Sellers-Books-Libros-en-español/zgbs/books/16568978011/ref=zg_bs_nav_b_2_69724
20,Literature & Fiction,https://www.amazon.com/Best-Sellers-Books-Literature-Fiction/zgbs/books/17/ref=zg_bs_nav_b_2_69724
21,Medical Books,https://www.amazon.com/Best-Sellers-Books-Medical/zgbs/books/173514/ref=zg_bs_nav_b_2_69724
22,"Mystery, Thriller & Suspense",https://www.amazon.com/Best-Sellers-Books-Mystery-Thriller-Suspense/zgbs/books/18/ref=zg_bs_nav_b_2_69724
23,Parenting & Relationships,https://www.amazon.com/Best-Sellers-Books-Parenting-Relationships/zgbs/books/20/ref=zg_bs_nav_b_2_69724
24,Politics & Social Sciences,https://www.amazon.com/Best-Sellers-Books-Politics-Social-Sciences/zgbs/books/3377866011/ref=zg_bs_nav_b_2_69724
25,Reference,https://www.amazon.com/Best-Sellers-Books-Reference/zgbs/books/21/ref=zg_bs_nav_b_2_69724
26,Religion & Spirituality,https://www.amazon.com/Best-Sellers-Books-Religion-Spirituality/zgbs/books/22/ref=zg_bs_nav_b_2_69724
27,Romance,https://www.amazon.com/Best-Sellers-Books-Romance/zgbs/books/23/ref=zg_bs_nav_b_2_69724
28,Science & Math,https://www.amazon.com/Best-Sellers-Books-Science-Math/zgbs/books/75/ref=zg_bs_nav_b_2_69724
29,Science Fiction & Fantasy,https://www.amazon.com/Best-Sellers-Books-Science-Fiction-Fantasy/zgbs/books/25/ref=zg_bs_nav_b_2_69724
30,Self-Help,https://www.amazon.com/Best-Sellers-Books-Self-Help/zgbs/books/4736/ref=zg_bs_nav_b_2_69724
31,Sports & Outdoors,https://www.amazon.com/Best-Sellers-Books-Sports-Outdoors/zgbs/books/26/ref=zg_bs_nav_b_2_69724
32,Teens,https://www.amazon.com/Best-Sellers-Books-Teen-Young-Adult/zgbs/books/28/ref=zg_bs_nav_b_2_69724
33,Test Preparation,https://www.amazon.com/Best-Sellers-Books-Test-Preparation/zgbs/books/5267710011/ref=zg_bs_nav_b_2_69724
34,Textbooks,https://www.amazon.com/Best-Sellers-Books-Textbooks/zgbs/books/465600/ref=zg_bs_nav_b_2_69724
35,Travel,https://www.amazon.com/Best-Sellers-Books-Travel/zgbs/books/27/ref=zg_bs_nav_b_2_69724
