,category,URL
0,Grocery & Gourmet Food,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food/zgbs/grocery/ref=zg_bs_unv_gro_1_16318751_1
1,Bakery & Dessert Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Bakery-Dessert-Gifts/zgbs/grocery/2255576011/ref=zg_bs_nav_gro_2_16318751
2,Breadcrumbs & Stuffing,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Bakery-Breadcrumbs-Stuffing/zgbs/grocery/6548768011/ref=zg_bs_nav_gro_2_16318751
3,Breads,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Breads/zgbs/grocery/18776870011/ref=zg_bs_nav_gro_2_16318751
4,Breadsticks,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Bakery-Breadsticks/zgbs/grocery/6548769011/ref=zg_bs_nav_gro_2_16318751
5,Cakes,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Cakes/zgbs/grocery/347681011/ref=zg_bs_nav_gro_2_16318751
6,Cookies,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Cookies/zgbs/grocery/18774312011/ref=zg_bs_nav_gro_2_16318751
7,Desserts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Bakery-Desserts/zgbs/grocery/6548788011/ref=zg_bs_nav_gro_2_16318751
8,Pastries & Bakery,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Breakfast-Bakery/zgbs/grocery/6548770011/ref=zg_bs_nav_gro_2_16318751
9,Pastry Shells & Crusts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Pastry-Shells-Crusts/zgbs/grocery/6548861011/ref=zg_bs_nav_gro_2_16318751
10,Pizza Crusts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Pizza-Crusts/zgbs/grocery/291442011/ref=zg_bs_nav_gro_2_16318751
11,Refrigerated Doughs,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Refrigerated-Doughs/zgbs/grocery/6520474011/ref=zg_bs_nav_gro_2_16318751
