,category,URL
0,Magazine Subscriptions,https://www.amazon.com/Best-Sellers-Magazines/zgbs/magazines/ref=zg_bs_unv_mag_1_602318_2
1,Women's Interest,https://www.amazon.com/Best-Sellers-Magazines-Womens-Interest/zgbs/magazines/602372/ref=zg_bs_unv_mag_2_602318_1
2,Fashion,https://www.amazon.com/Best-Sellers-Magazines-Womens-Fashion/zgbs/magazines/637730/ref=zg_bs_nav_mag_3_602318
3,Women's Lifestyle,https://www.amazon.com/Best-Sellers-Magazines-Womens-Lifestyle/zgbs/magazines/14044581/ref=zg_bs_nav_mag_3_602318
4,Health & Fitness,https://www.amazon.com/Best-Sellers-Magazines-Womens-Health-Fitness/zgbs/magazines/637756/ref=zg_bs_nav_mag_3_602318
5,Motherhood,https://www.amazon.com/Best-Sellers-Magazines-Motherhood/zgbs/magazines/14044561/ref=zg_bs_nav_mag_3_602318
6,Pregnancy & Childbirth,https://www.amazon.com/Best-Sellers-Magazines-Pregnancy-Childbirth/zgbs/magazines/254953011/ref=zg_bs_nav_mag_3_602318
7,Self-Improvement,https://www.amazon.com/Best-Sellers-Magazines-Self-Improvement/zgbs/magazines/14044551/ref=zg_bs_nav_mag_3_602318
8,Dating,https://www.amazon.com/Best-Sellers-Magazines-Dating/zgbs/magazines/14044571/ref=zg_bs_nav_mag_3_602318
9,Women in Business,https://www.amazon.com/Best-Sellers-Magazines-Women-Business/zgbs/magazines/14044541/ref=zg_bs_nav_mag_3_602318
