,category,URL
0,Magazine Subscriptions,https://www.amazon.com/Best-Sellers-Magazines/zgbs/magazines/ref=zg_bs_unv_mag_1_602320_1
1,Accounting,https://www.amazon.com/Best-Sellers-Magazines-Accounting/zgbs/magazines/1115882/ref=zg_bs_nav_mag_2_602320
2,Advertising,https://www.amazon.com/Best-Sellers-Magazines-Advertising/zgbs/magazines/1115896/ref=zg_bs_nav_mag_2_602320
3,Banking,https://www.amazon.com/Best-Sellers-Magazines-Banking/zgbs/magazines/1115912/ref=zg_bs_nav_mag_2_602320
4,Business Life,https://www.amazon.com/Best-Sellers-Magazines-Business-Life/zgbs/magazines/252140011/ref=zg_bs_nav_mag_2_602320
5,Business Management,https://www.amazon.com/Best-Sellers-Magazines-Business-Management/zgbs/magazines/1115890/ref=zg_bs_nav_mag_2_602320
6,Careers,https://www.amazon.com/Best-Sellers-Magazines-Career/zgbs/magazines/252150011/ref=zg_bs_nav_mag_2_602320
7,Economics,https://www.amazon.com/Best-Sellers-Magazines-Economics/zgbs/magazines/252162011/ref=zg_bs_nav_mag_2_602320
8,Entrepreneurship,https://www.amazon.com/Best-Sellers-Magazines-Entrepreneurship/zgbs/magazines/742410/ref=zg_bs_nav_mag_2_602320
9,Finance,https://www.amazon.com/Best-Sellers-Magazines-Finance/zgbs/magazines/3018031/ref=zg_bs_nav_mag_2_602320
10,International,https://www.amazon.com/Best-Sellers-Magazines-International-Business/zgbs/magazines/1115902/ref=zg_bs_nav_mag_2_602320
11,Investing,https://www.amazon.com/Best-Sellers-Magazines-Investing/zgbs/magazines/1115910/ref=zg_bs_nav_mag_2_602320
12,Women in Business,https://www.amazon.com/Best-Sellers-Magazines-Women-Business/zgbs/magazines/14044541/ref=zg_bs_nav_mag_2_602320
