,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_3_1
1,Accounting,https://www.amazon.com/Best-Sellers-Books-Accounting/zgbs/books/266117/ref=zg_bs_nav_b_2_3
2,Biography & History,https://www.amazon.com/Best-Sellers-Books-Biography-History/zgbs/books/2538/ref=zg_bs_nav_b_2_3
3,Business Culture,https://www.amazon.com/Best-Sellers-Books-Business-Culture/zgbs/books/2558/ref=zg_bs_nav_b_2_3
4,Economics,https://www.amazon.com/Best-Sellers-Books-Economics/zgbs/books/2581/ref=zg_bs_nav_b_2_3
5,Education & Reference,https://www.amazon.com/Best-Sellers-Books-Business-Education-Reference/zgbs/books/2732/ref=zg_bs_nav_b_2_3
6,Finance,https://www.amazon.com/Best-Sellers-Books-Finance/zgbs/books/2604/ref=zg_bs_nav_b_2_3
7,Human Resources,https://www.amazon.com/Best-Sellers-Books-Human-Resources/zgbs/books/10020683011/ref=zg_bs_nav_b_2_3
8,Industries,https://www.amazon.com/Best-Sellers-Books-Industries/zgbs/books/2624/ref=zg_bs_nav_b_2_3
9,Insurance,https://www.amazon.com/Best-Sellers-Books-Insurance/zgbs/books/2638/ref=zg_bs_nav_b_2_3
10,International,https://www.amazon.com/Best-Sellers-Books-International-Business-Investing/zgbs/books/2657/ref=zg_bs_nav_b_2_3
11,Investing,https://www.amazon.com/Best-Sellers-Books-Investing/zgbs/books/2665/ref=zg_bs_nav_b_2_3
12,Job Hunting & Careers,https://www.amazon.com/Best-Sellers-Books-Job-Hunting-Careers/zgbs/books/2572/ref=zg_bs_nav_b_2_3
13,Management & Leadership,https://www.amazon.com/Best-Sellers-Books-Business-Management-Leadership/zgbs/books/2675/ref=zg_bs_nav_b_2_3
14,Marketing & Sales,https://www.amazon.com/Best-Sellers-Books-Marketing-Sales/zgbs/books/2698/ref=zg_bs_nav_b_2_3
15,Personal Finance,https://www.amazon.com/Best-Sellers-Books-Personal-Finance/zgbs/books/2717/ref=zg_bs_nav_b_2_3
16,Processes & Infrastructure,https://www.amazon.com/Best-Sellers-Books-Business-Processes-Infrastructure/zgbs/books/355561011/ref=zg_bs_nav_b_2_3
17,Real Estate,https://www.amazon.com/Best-Sellers-Books-Real-Estate/zgbs/books/2650/ref=zg_bs_nav_b_2_3
18,Skills,https://www.amazon.com/Best-Sellers-Books-Business-Investing-Skills/zgbs/books/355562011/ref=zg_bs_nav_b_2_3
19,Small Business & Entrepreneurship,https://www.amazon.com/Best-Sellers-Books-Small-Business-Entrepreneurship/zgbs/books/2741/ref=zg_bs_nav_b_2_3
20,Taxation,https://www.amazon.com/Best-Sellers-Books-Taxation/zgbs/books/7743000011/ref=zg_bs_nav_b_2_3
21,Women & Business,https://www.amazon.com/Best-Sellers-Books-Women-Business/zgbs/books/355578011/ref=zg_bs_nav_b_2_3
