,category,URL
0,Software,https://www.amazon.com/best-sellers-software/zgbs/software/ref=zg_bs_unv_sw_1_229535_1
1,Business & Marketing Plans,https://www.amazon.com/Best-Sellers-Software-Business-Marketing-Plans/zgbs/software/5223261011/ref=zg_bs_nav_sw_2_229535
2,Communication,https://www.amazon.com/Best-Sellers-Software-Business-Office-Communication/zgbs/software/229636/ref=zg_bs_nav_sw_2_229535
3,Contact Management,https://www.amazon.com/Best-Sellers-Software-Scheduling-Contact-Management/zgbs/software/229543/ref=zg_bs_nav_sw_2_229535
4,Database Management,https://www.amazon.com/Best-Sellers-Software-Database-Management/zgbs/software/229668/ref=zg_bs_nav_sw_2_229535
5,Document Management,https://www.amazon.com/Best-Sellers-Software-Document-Management/zgbs/software/229538/ref=zg_bs_nav_sw_2_229535
6,Legal,https://www.amazon.com/Best-Sellers-Software-Legal/zgbs/software/15699361/ref=zg_bs_nav_sw_2_229535
7,Note Taking,https://www.amazon.com/Best-Sellers-Software-Note-Taking/zgbs/software/8842491011/ref=zg_bs_nav_sw_2_229535
8,Office Suites,https://www.amazon.com/Best-Sellers-Software-Business-Office-Management/zgbs/software/283891/ref=zg_bs_nav_sw_2_229535
9,Password Management,https://www.amazon.com/Best-Sellers-Software-Password-Management/zgbs/software/8842492011/ref=zg_bs_nav_sw_2_229535
10,Project Management,https://www.amazon.com/Best-Sellers-Software-Project-Management/zgbs/software/229542/ref=zg_bs_nav_sw_2_229535
11,Reports,https://www.amazon.com/Best-Sellers-Software-Reports-Forms/zgbs/software/283013/ref=zg_bs_nav_sw_2_229535
12,Resumes,https://www.amazon.com/Best-Sellers-Software-Resumes/zgbs/software/8842493011/ref=zg_bs_nav_sw_2_229535
13,Spreadsheet,https://www.amazon.com/Best-Sellers-Software-Spreadsheets/zgbs/software/229544/ref=zg_bs_nav_sw_2_229535
14,Training,https://www.amazon.com/Best-Sellers-Software-Business-Training-Tutorials/zgbs/software/229546/ref=zg_bs_nav_sw_2_229535
15,Visualization & Presentation,https://www.amazon.com/Best-Sellers-Software-Presentations/zgbs/software/229541/ref=zg_bs_nav_sw_2_229535
16,Voice Recognition,https://www.amazon.com/Best-Sellers-Software-Voice-Recognition/zgbs/software/229678/ref=zg_bs_nav_sw_2_229535
17,Word Processing,https://www.amazon.com/Best-Sellers-Software-Word-Processing/zgbs/software/229547/ref=zg_bs_nav_sw_2_229535
