,category,URL
0,Apps & Games,https://www.amazon.com/Best-Sellers-Appstore-Android/zgbs/mobile-apps/ref=zg_bs_unv_mas_1_10298305011_1
1,Accounting & Expenses,https://www.amazon.com/Best-Sellers-Appstore-Android-Accounting-Expenses/zgbs/mobile-apps/9408434011/ref=zg_bs_nav_mas_2_10298305011
2,Document Editing,https://www.amazon.com/Best-Sellers-Appstore-Android-Document-Editing/zgbs/mobile-apps/9408452011/ref=zg_bs_nav_mas_2_10298305011
3,Document Viewers,https://www.amazon.com/Best-Sellers-Appstore-Android-Document-Viewers/zgbs/mobile-apps/9408454011/ref=zg_bs_nav_mas_2_10298305011
4,Email Clients,https://www.amazon.com/Best-Sellers-Appstore-Android-Email-Clients/zgbs/mobile-apps/9408468011/ref=zg_bs_nav_mas_2_10298305011
5,Graphic Design,https://www.amazon.com/Best-Sellers-Appstore-Android-Graphic-Design/zgbs/mobile-apps/9408456011/ref=zg_bs_nav_mas_2_10298305011
6,Meetings & Conferencing,https://www.amazon.com/Best-Sellers-Appstore-Android-Meetings-Conferencing/zgbs/mobile-apps/9408451011/ref=zg_bs_nav_mas_2_10298305011
7,Organizers & Assistants,https://www.amazon.com/Best-Sellers-Appstore-Android-Organizers-Assistants/zgbs/mobile-apps/9408459011/ref=zg_bs_nav_mas_2_10298305011
8,Presentations,https://www.amazon.com/Best-Sellers-Appstore-Android-Presentations/zgbs/mobile-apps/9408460011/ref=zg_bs_nav_mas_2_10298305011
9,Networking,https://www.amazon.com/Best-Sellers-Appstore-Android-Professional-Networking/zgbs/mobile-apps/9408476011/ref=zg_bs_nav_mas_2_10298305011
10,Scanning & Printing,https://www.amazon.com/Best-Sellers-Appstore-Android-Scanning-Printing/zgbs/mobile-apps/9408932011/ref=zg_bs_nav_mas_2_10298305011
11,To-Do Lists & Reminders,https://www.amazon.com/Best-Sellers-Appstore-Android-Do-Lists-Reminders/zgbs/mobile-apps/9408461011/ref=zg_bs_nav_mas_2_10298305011
