,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_3248857011_1
1,Animals,https://www.amazon.com/Best-Sellers-Books-Animal-Calendars/zgbs/books/67243/ref=zg_bs_nav_b_2_3248857011
2,Architecture,https://www.amazon.com/Best-Sellers-Books-Architecture-Calendars/zgbs/books/67261/ref=zg_bs_nav_b_2_3248857011
3,Arts,https://www.amazon.com/Best-Sellers-Books-Art-Calendars/zgbs/books/67262/ref=zg_bs_nav_b_2_3248857011
4,Automotive,https://www.amazon.com/Best-Sellers-Books-Automotive-Calendars/zgbs/books/67281/ref=zg_bs_nav_b_2_3248857011
5,Boats & Ships,https://www.amazon.com/Best-Sellers-Books-Boat-Ship-Calendars/zgbs/books/67282/ref=zg_bs_nav_b_2_3248857011
6,Children's,https://www.amazon.com/Best-Sellers-Books-Childrens-Calendars/zgbs/books/67284/ref=zg_bs_nav_b_2_3248857011
7,Cooking,https://www.amazon.com/Best-Sellers-Books-Cooking-Calendars/zgbs/books/67290/ref=zg_bs_nav_b_2_3248857011
8,Crafts,https://www.amazon.com/Best-Sellers-Books-Craft-Calendars/zgbs/books/67289/ref=zg_bs_nav_b_2_3248857011
9,Diet & Health,https://www.amazon.com/Best-Sellers-Books-Diet-Health-Calendars/zgbs/books/67291/ref=zg_bs_nav_b_2_3248857011
10,Flowers,https://www.amazon.com/Best-Sellers-Books-Flower-Calendars/zgbs/books/67296/ref=zg_bs_nav_b_2_3248857011
11,Foreign Language,https://www.amazon.com/Best-Sellers-Books-Foreign-Language-Calendars/zgbs/books/67297/ref=zg_bs_nav_b_2_3248857011
12,Games,https://www.amazon.com/Best-Sellers-Books-Game-Calendars/zgbs/books/265041/ref=zg_bs_nav_b_2_3248857011
13,Garden & Home,https://www.amazon.com/Best-Sellers-Books-Garden-Calendars/zgbs/books/67304/ref=zg_bs_nav_b_2_3248857011
14,Humor & Comics,https://www.amazon.com/Best-Sellers-Books-Humor-Comic-Calendars/zgbs/books/67309/ref=zg_bs_nav_b_2_3248857011
15,Inspirational,https://www.amazon.com/Best-Sellers-Books-Inspirational-Calendars/zgbs/books/67310/ref=zg_bs_nav_b_2_3248857011
16,Lighthouses,https://www.amazon.com/Best-Sellers-Books-Lighthouse-Calendars/zgbs/books/67311/ref=zg_bs_nav_b_2_3248857011
17,Maps,https://www.amazon.com/Best-Sellers-Books-Map-Calendars/zgbs/books/10390311/ref=zg_bs_nav_b_2_3248857011
18,Movies,https://www.amazon.com/Best-Sellers-Books-Movie-Calendars/zgbs/books/67313/ref=zg_bs_nav_b_2_3248857011
19,Multicultural,https://www.amazon.com/Best-Sellers-Books-Multicultural-Calendars/zgbs/books/67316/ref=zg_bs_nav_b_2_3248857011
20,Music,https://www.amazon.com/Best-Sellers-Books-Music-Calendars/zgbs/books/754608/ref=zg_bs_nav_b_2_3248857011
21,Nature,https://www.amazon.com/Best-Sellers-Books-Nature-Calendars/zgbs/books/67319/ref=zg_bs_nav_b_2_3248857011
22,Photography,https://www.amazon.com/Best-Sellers-Books-Photography-Calendars/zgbs/books/67323/ref=zg_bs_nav_b_2_3248857011
23,Quotations,https://www.amazon.com/Best-Sellers-Books-Quotation-Calendars/zgbs/books/67326/ref=zg_bs_nav_b_2_3248857011
24,Science Fiction & Fantasy,https://www.amazon.com/Best-Sellers-Books-Science-Fiction-Fantasy-Calendars/zgbs/books/67372/ref=zg_bs_nav_b_2_3248857011
25,Sports,https://www.amazon.com/Best-Sellers-Books-Sport-Calendars/zgbs/books/67374/ref=zg_bs_nav_b_2_3248857011
26,Television,https://www.amazon.com/Best-Sellers-Books-Television-Calendars/zgbs/books/67382/ref=zg_bs_nav_b_2_3248857011
27,Travel & Scenery,https://www.amazon.com/Best-Sellers-Books-Travel-Scenery-Calendars/zgbs/books/67328/ref=zg_bs_nav_b_2_3248857011
