,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_502394_1
1,Accessories,https://www.amazon.com/Best-Sellers-Electronics-Camera-Photo-Accessories/zgbs/electronics/172435/ref=zg_bs_nav_e_2_502394
2,Bags & Cases,https://www.amazon.com/Best-Sellers-Electronics-Camera-Bags-Cases/zgbs/electronics/172437/ref=zg_bs_nav_e_2_502394
3,Binoculars & Scopes,https://www.amazon.com/Best-Sellers-Electronics-Binoculars-Telescopes-Optics/zgbs/electronics/499320/ref=zg_bs_nav_e_2_502394
4,Digital Cameras,https://www.amazon.com/Best-Sellers-Electronics-Digital-Cameras/zgbs/electronics/281052/ref=zg_bs_nav_e_2_502394
5,Film Photography,https://www.amazon.com/Best-Sellers-Electronics-Film-Photography/zgbs/electronics/7161070011/ref=zg_bs_nav_e_2_502394
6,Flashes,https://www.amazon.com/Best-Sellers-Electronics-Camera-Flashes/zgbs/electronics/172447/ref=zg_bs_nav_e_2_502394
7,Lenses,https://www.amazon.com/Best-Sellers-Electronics-Camcorder-Camera-Lenses/zgbs/electronics/499248/ref=zg_bs_nav_e_2_502394
8,Lighting & Studio,https://www.amazon.com/Best-Sellers-Electronics-Lighting-Studio-Equipment/zgbs/electronics/7161086011/ref=zg_bs_nav_e_2_502394
9,Printers & Scanners,https://www.amazon.com/Best-Sellers-Electronics-Photo-Printers-Scanners/zgbs/electronics/499328/ref=zg_bs_nav_e_2_502394
10,Simulated Cameras,https://www.amazon.com/Best-Sellers-Electronics-Simulated-Surveillance-Cameras/zgbs/electronics/14241441/ref=zg_bs_nav_e_2_502394
11,Tripods & Monopods,https://www.amazon.com/Best-Sellers-Electronics-Camera-Tripods-Monopods/zgbs/electronics/499306/ref=zg_bs_nav_e_2_502394
12,Underwater Photography,https://www.amazon.com/Best-Sellers-Electronics-Underwater-Photography-Products/zgbs/electronics/3350161/ref=zg_bs_nav_e_2_502394
13,Video,https://www.amazon.com/Best-Sellers-Electronics-Video-Equipment/zgbs/electronics/7161073011/ref=zg_bs_nav_e_2_502394
14,Video Surveillance,https://www.amazon.com/Best-Sellers-Electronics-Video-Surveillance-Equipment/zgbs/electronics/7161091011/ref=zg_bs_nav_e_2_502394
