,category,URL
0,Grocery & Gourmet Food,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food/zgbs/grocery/ref=zg_bs_unv_gro_1_16322461_1
1,"Brittle, Caramel & Toffee",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Brittle-Caramel-Toffee-Candy/zgbs/grocery/17369012011/ref=zg_bs_nav_gro_2_16322461
2,Candied & Chocolate-Covered Snacks,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Candy-Chocolate-Coated-Fruits-Nuts-Snacks/zgbs/grocery/6558929011/ref=zg_bs_nav_gro_2_16322461
3,Candy & Chocolate Assortments,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Candy-Chocolate-Assortments-Samplers/zgbs/grocery/6558922011/ref=zg_bs_nav_gro_2_16322461
4,Candy & Chocolate Bars,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Candy-Chocolate-Bars/zgbs/grocery/6558923011/ref=zg_bs_nav_gro_2_16322461
5,Candy & Chocolate Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Candy-Chocolate-Gifts/zgbs/grocery/2255572011/ref=zg_bs_nav_gro_2_16322461
6,Chewing & Bubble Gum,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Chewing-Gum/zgbs/grocery/16322471/ref=zg_bs_nav_gro_2_16322461
7,Chocolate & Fudge,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Chocolate-Fudge-Candy/zgbs/grocery/17369014011/ref=zg_bs_nav_gro_2_16322461
8,Ginger Candy,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Ginger-Candy/zgbs/grocery/7514604011/ref=zg_bs_nav_gro_2_16322461
9,Hard Candy & Lollipops,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Hard-Candy-Suckers-Lollipops/zgbs/grocery/17369015011/ref=zg_bs_nav_gro_2_16322461
10,Jelly Beans & Gummy Candy,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Jelly-Beans-Chewy-Gummy-Candy/zgbs/grocery/17369013011/ref=zg_bs_nav_gro_2_16322461
11,Marshmallows,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Marshmallows/zgbs/grocery/724726011/ref=zg_bs_nav_gro_2_16322461
12,Mints,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Candy-Mints/zgbs/grocery/16322531/ref=zg_bs_nav_gro_2_16322461
13,Sour Candy,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Sour-Flavored-Candies/zgbs/grocery/6558939011/ref=zg_bs_nav_gro_2_16322461
14,Traditional & International Sweets,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Traditional-International-Sweets/zgbs/grocery/17369017011/ref=zg_bs_nav_gro_2_16322461
