,category,URL
0,Automotive,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_unv_auto_1_15718271_1
1,Cleaning Kits,https://www.amazon.com/Best-Sellers-Automotive-Cleaning-Kits/zgbs/automotive/15718281/ref=zg_bs_nav_auto_2_15718271
2,Exterior Care,https://www.amazon.com/Best-Sellers-Automotive-Exterior-Care-Products/zgbs/automotive/15718291/ref=zg_bs_nav_auto_2_15718271
3,"Fillers, Adhesives & Sealants",https://www.amazon.com/Best-Sellers-Automotive-Fillers-Adhesives-Sealants/zgbs/automotive/21557050011/ref=zg_bs_nav_auto_2_15718271
4,Finishing,https://www.amazon.com/Best-Sellers-Automotive-Finishing-Products/zgbs/automotive/15718501/ref=zg_bs_nav_auto_2_15718271
5,Glass Care,https://www.amazon.com/Best-Sellers-Automotive-Glass-Care-Products/zgbs/automotive/15718531/ref=zg_bs_nav_auto_2_15718271
6,Interior Care,https://www.amazon.com/Best-Sellers-Automotive-Interior-Care-Products/zgbs/automotive/15718541/ref=zg_bs_nav_auto_2_15718271
7,Solvents,https://www.amazon.com/Best-Sellers-Automotive-Solvents/zgbs/automotive/15718631/ref=zg_bs_nav_auto_2_15718271
8,Tire & Wheel Care,https://www.amazon.com/Best-Sellers-Automotive-Tire-Wheel-Care-Products/zgbs/automotive/15718641/ref=zg_bs_nav_auto_2_15718271
9,Tools & Equipment,https://www.amazon.com/Best-Sellers-Automotive-Tools-Equipment/zgbs/automotive/15718651/ref=zg_bs_nav_auto_2_15718271
10,Undercoatings,https://www.amazon.com/Best-Sellers-Automotive-Undercoatings/zgbs/automotive/15718781/ref=zg_bs_nav_auto_2_15718271
