,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_1077068_1
1,Car Audio,https://www.amazon.com/Best-Sellers-Electronics-Car-Audio/zgbs/electronics/226184/ref=zg_bs_nav_e_2_1077068
2,Car Safety & Security,https://www.amazon.com/Best-Sellers-Electronics-Car-Security-Products/zgbs/electronics/3008971/ref=zg_bs_nav_e_2_1077068
3,Car Video,https://www.amazon.com/Best-Sellers-Electronics-Car-Video/zgbs/electronics/10980521/ref=zg_bs_nav_e_2_1077068
4,CB Radios & Scanners,https://www.amazon.com/Best-Sellers-Electronics-Portable-CB-Radios/zgbs/electronics/226183/ref=zg_bs_nav_e_2_1077068
5,GPS Trackers,https://www.amazon.com/Best-Sellers-Electronics-GPS-Trackers/zgbs/electronics/617650011/ref=zg_bs_nav_e_2_1077068
6,In-Dash Mounting Kits,https://www.amazon.com/Best-Sellers-Electronics-Car-Audio-Video-Dash-Mounting-Kits/zgbs/electronics/10981321/ref=zg_bs_nav_e_2_1077068
7,Installation Accessories & Harnesses,https://www.amazon.com/Best-Sellers-Electronics-Car-Audio-Video-Installation-Products/zgbs/electronics/10981311/ref=zg_bs_nav_e_2_1077068
8,Radar Detectors,https://www.amazon.com/Best-Sellers-Electronics-Radar-Detectors/zgbs/electronics/172529/ref=zg_bs_nav_e_2_1077068
9,Two-Way Radios,https://www.amazon.com/Best-Sellers-Electronics-Portable-FRS-Two-Way-Radios/zgbs/electronics/912322/ref=zg_bs_nav_e_2_1077068
