,category,URL
0,Cell Phones & Accessories,https://www.amazon.com/Best-Sellers/zgbs/wireless/ref=zg_bs_unv_1_2407760011_1
1,Armbands,https://www.amazon.com/Best-Sellers-Cell-Phone-Armbands/zgbs/wireless/7073962011/ref=zg_bs_nav_2_2407760011
2,Basic Cases,https://www.amazon.com/Best-Sellers-Cell-Phone-Basic-Cases/zgbs/wireless/3081461011/ref=zg_bs_nav_2_2407760011
3,Battery Charger Cases,https://www.amazon.com/Best-Sellers-Cell-Phone-Battery-Charger-Cases/zgbs/wireless/7073958011/ref=zg_bs_nav_2_2407760011
4,Bumpers,https://www.amazon.com/Best-Sellers-Cell-Phone-Bumpers/zgbs/wireless/17875442011/ref=zg_bs_nav_2_2407760011
5,Case & Cover Bundles,https://www.amazon.com/Best-Sellers-Cell-Phone-Case-Cover-Bundles/zgbs/wireless/21209096011/ref=zg_bs_nav_2_2407760011
6,Crossbody & Lanyard Cases,https://www.amazon.com/Best-Sellers-Cell-Phone-Crossbody-Lanyard-Cases/zgbs/wireless/21209095011/ref=zg_bs_nav_2_2407760011
7,Dry Bags,https://www.amazon.com/Best-Sellers-Cell-Phone-Dry-Bags/zgbs/wireless/17875443011/ref=zg_bs_nav_2_2407760011
8,Flip Cases,https://www.amazon.com/Best-Sellers-Flip-Cell-Phone-Cases/zgbs/wireless/9931389011/ref=zg_bs_nav_2_2407760011
9,Holsters,https://www.amazon.com/Best-Sellers-Cell-Phone-Holsters/zgbs/wireless/2407765011/ref=zg_bs_nav_2_2407760011
10,Sleeves,https://www.amazon.com/Best-Sellers-Cell-Phone-Sleeves/zgbs/wireless/9414313011/ref=zg_bs_nav_2_2407760011
