,category,URL
0,Pet Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies/zgbs/pet-supplies/ref=zg_bs_unv_petsupplies_1_2975241011_1
1,Apparel,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Apparel/zgbs/pet-supplies/2975242011/ref=zg_bs_nav_petsupplies_2_2975241011
2,Beds & Furniture,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Beds-Furniture/zgbs/pet-supplies/2975243011/ref=zg_bs_nav_petsupplies_2_2975241011
3,Cameras & Monitors,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cameras-Monitors/zgbs/pet-supplies/17440052011/ref=zg_bs_nav_petsupplies_2_2975241011
4,Carriers & Strollers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Carriers-Strollers/zgbs/pet-supplies/2975250011/ref=zg_bs_nav_petsupplies_2_2975241011
5,"Cat Doors, Enclosures & Steps",https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Doors-Enclosures-Steps/zgbs/pet-supplies/2975251011/ref=zg_bs_nav_petsupplies_2_2975241011
6,"Collars, Harnesses & Leashes",https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Collars-Harnesses-Leashes/zgbs/pet-supplies/2975252011/ref=zg_bs_nav_petsupplies_2_2975241011
7,Feeding & Watering Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Feeding-Watering/zgbs/pet-supplies/2975259011/ref=zg_bs_nav_petsupplies_2_2975241011
8,Flea & Tick Control,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Flea-Tick-Control/zgbs/pet-supplies/2975280011/ref=zg_bs_nav_petsupplies_2_2975241011
9,Food,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Food/zgbs/pet-supplies/2975265011/ref=zg_bs_nav_petsupplies_2_2975241011
10,Grooming,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Grooming/zgbs/pet-supplies/2975268011/ref=zg_bs_nav_petsupplies_2_2975241011
11,Health Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Health/zgbs/pet-supplies/2975276011/ref=zg_bs_nav_petsupplies_2_2975241011
12,Litter & Housebreaking,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Litter-Housebreaking/zgbs/pet-supplies/2975296011/ref=zg_bs_nav_petsupplies_2_2975241011
13,Memorials,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Memorials/zgbs/pet-supplies/2975302011/ref=zg_bs_nav_petsupplies_2_2975241011
14,Repellents & Training Aids,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Repellents-Training-Aids/zgbs/pet-supplies/2975258011/ref=zg_bs_nav_petsupplies_2_2975241011
15,Toys,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Toys/zgbs/pet-supplies/2975303011/ref=zg_bs_nav_petsupplies_2_2975241011
16,Treats,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Treats/zgbs/pet-supplies/2975309011/ref=zg_bs_nav_petsupplies_2_2975241011
