,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_10802561_1
1,Air Fresheners,https://www.amazon.com/Best-Sellers-Home-Kitchen-Air-Freshener-Supplies/zgbs/home-garden/15356121/ref=zg_bs_nav_hg_2_10802561
2,Brushes,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Cleaning-Brushes/zgbs/home-garden/15342891/ref=zg_bs_nav_hg_2_10802561
3,Dusting,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dusting-Tools/zgbs/home-garden/15356181/ref=zg_bs_nav_hg_2_10802561
4,Gloves,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Cleaning-Gloves/zgbs/home-garden/15342901/ref=zg_bs_nav_hg_2_10802561
5,Household Cleaners,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Cleaning/zgbs/home-garden/15342821/ref=zg_bs_nav_hg_2_10802561
6,Mopping,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Mops-Buckets-Accessories/zgbs/home-garden/2245503011/ref=zg_bs_nav_hg_2_10802561
7,Paper Towels,https://www.amazon.com/Best-Sellers-Home-Kitchen-Paper-Towels/zgbs/home-garden/15347401/ref=zg_bs_nav_hg_2_10802561
8,Sponges,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Cleaning-Sponges/zgbs/home-garden/15754811/ref=zg_bs_nav_hg_2_10802561
9,Squeegees,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Squeegees/zgbs/home-garden/2245500011/ref=zg_bs_nav_hg_2_10802561
10,Sweeping,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Brooms-Dustpans-Accessories/zgbs/home-garden/2245502011/ref=zg_bs_nav_hg_2_10802561
11,Trash Bags,https://www.amazon.com/Best-Sellers-Home-Kitchen-Trash-Bags/zgbs/home-garden/15342971/ref=zg_bs_nav_hg_2_10802561
