,category,URL
0,Handmade Products,https://www.amazon.com/Best-Sellers-Handmade/zgbs/handmade/ref=zg_bs_unv_hnd_1_17714704011_1
1,Women,https://www.amazon.com/Best-Sellers-Handmade-Womens-Fashion/zgbs/handmade/17714783011/ref=zg_bs_nav_hnd_2_17714704011
2,Men,https://www.amazon.com/Best-Sellers-Handmade-Mens-Fashion/zgbs/handmade/17714749011/ref=zg_bs_nav_hnd_2_17714704011
3,Girls,https://www.amazon.com/Best-Sellers-Handmade-Girls-Fashion/zgbs/handmade/17714734011/ref=zg_bs_nav_hnd_2_17714704011
4,Boys,https://www.amazon.com/Best-Sellers-Handmade-Boys-Fashion/zgbs/handmade/17714716011/ref=zg_bs_nav_hnd_2_17714704011
5,Baby,https://www.amazon.com/Best-Sellers-Handmade-Baby-Clothing-Shoes-Accessories/zgbs/handmade/17714705011/ref=zg_bs_nav_hnd_2_17714704011
6,Hair Accessories,https://www.amazon.com/Best-Sellers-Handmade-Hair-Styling-Accessories/zgbs/handmade/14344534011/ref=zg_bs_nav_hnd_2_17714704011
7,Handbags & Shoulder Bags,https://www.amazon.com/Best-Sellers-Handmade-Handbags-Shoulder-Bags/zgbs/handmade/14344548011/ref=zg_bs_nav_hnd_2_17714704011
8,Insoles & Shoe Accessories,https://www.amazon.com/Best-Sellers-Handmade-Insoles-Shoe-Accessories/zgbs/handmade/16355338011/ref=zg_bs_nav_hnd_2_17714704011
9,Luggage & Travel Gear,https://www.amazon.com/Best-Sellers-Handmade-Luggage-Travel-Gear/zgbs/handmade/14344560011/ref=zg_bs_nav_hnd_2_17714704011
