,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_166242011_3
1,Games,https://www.amazon.com/Best-Sellers-Toys-Games-Accessories/zgbs/toys-and-games/166220011/ref=zg_bs_unv_t_2_166242011_2
2,Card Games,https://www.amazon.com/Best-Sellers-Toys-Games-Card/zgbs/toys-and-games/166239011/ref=zg_bs_unv_t_3_166242011_1
3,Booster Packs,https://www.amazon.com/Best-Sellers-Toys-Games-Collectible-Card-Game-Booster-Packs/zgbs/toys-and-games/19431306011/ref=zg_bs_nav_t_4_166242011
4,Boxes,https://www.amazon.com/Best-Sellers-Toys-Games-Collectible-Trading-Card-Cases/zgbs/toys-and-games/2522048011/ref=zg_bs_nav_t_4_166242011
5,Counters,https://www.amazon.com/Best-Sellers-Toys-Games-Collectible-Card-Game-Counters/zgbs/toys-and-games/19431307011/ref=zg_bs_nav_t_4_166242011
6,Decks & Sets,https://www.amazon.com/Best-Sellers-Toys-Games-Collectible-Card-Game-Decks-Sets/zgbs/toys-and-games/19431308011/ref=zg_bs_nav_t_4_166242011
7,Playmats,https://www.amazon.com/Best-Sellers-Toys-Games-Collectible-Card-Game-Playmats/zgbs/toys-and-games/19431309011/ref=zg_bs_nav_t_4_166242011
8,Polyhedral Dice,https://www.amazon.com/Best-Sellers-Toys-Games-Role-Playing-Dice/zgbs/toys-and-games/1265808011/ref=zg_bs_nav_t_4_166242011
9,Singles,https://www.amazon.com/Best-Sellers-Toys-Games-Collectible-Card-Game-Singles/zgbs/toys-and-games/19431310011/ref=zg_bs_nav_t_4_166242011
