,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_172456_2
1,Computers & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computers-Accessories/zgbs/electronics/541966/ref=zg_bs_unv_e_2_172456_1
2,Audio & Video Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computer-Audio-Video-Accessories/zgbs/electronics/11548951011/ref=zg_bs_nav_e_3_172456
3,Blank Media,https://www.amazon.com/Best-Sellers-Electronics-Blank-Media-Products/zgbs/electronics/281408/ref=zg_bs_nav_e_3_172456
4,Blue Light Blocking Glasses,https://www.amazon.com/Best-Sellers-Electronics-Computer-Blue-Light-Blocking-Glasses/zgbs/electronics/17919093011/ref=zg_bs_nav_e_3_172456
5,Cable Security Devices,https://www.amazon.com/Best-Sellers-Electronics-Computer-Security-Cables/zgbs/electronics/11036541/ref=zg_bs_nav_e_3_172456
6,Cables & Interconnects,https://www.amazon.com/Best-Sellers-Electronics-Computer-Cables-Interconnects/zgbs/electronics/172463/ref=zg_bs_nav_e_3_172456
7,Cleaning & Repair,https://www.amazon.com/Best-Sellers-Electronics-Computer-Cleaning-Repair/zgbs/electronics/281501/ref=zg_bs_nav_e_3_172456
8,Computer Cable Adapters,https://www.amazon.com/Best-Sellers-Electronics-Computer-Cable-Adapters/zgbs/electronics/172472/ref=zg_bs_nav_e_3_172456
9,Game Hardware,https://www.amazon.com/Best-Sellers-Electronics-Computer-Game-Hardware/zgbs/electronics/172487/ref=zg_bs_nav_e_3_172456
10,Hard Drive Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computer-Hard-Drive-Accessories/zgbs/electronics/11548952011/ref=zg_bs_nav_e_3_172456
11,Input Devices,https://www.amazon.com/Best-Sellers-Electronics-Computer-Input-Devices/zgbs/electronics/172493/ref=zg_bs_nav_e_3_172456
12,"Keyboards, Mice & Accessories",https://www.amazon.com/Best-Sellers-Electronics-Computer-Keyboards-Mice-Accessories/zgbs/electronics/11548956011/ref=zg_bs_nav_e_3_172456
13,Memory Card Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computer-Memory-Card-Accessories/zgbs/electronics/11548957011/ref=zg_bs_nav_e_3_172456
14,Memory Cards,https://www.amazon.com/Best-Sellers-Electronics-Memory-Cards/zgbs/electronics/516866/ref=zg_bs_nav_e_3_172456
15,Monitor Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computer-Monitor-Accessories/zgbs/electronics/281062/ref=zg_bs_nav_e_3_172456
16,Printer Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computer-Printer-Parts-Accessories/zgbs/electronics/172636/ref=zg_bs_nav_e_3_172456
17,Printer Ink & Toner,https://www.amazon.com/Best-Sellers-Electronics-Computer-Printer-Ink-Toner/zgbs/electronics/172638/ref=zg_bs_nav_e_3_172456
18,Racks & Cabinets,https://www.amazon.com/Best-Sellers-Electronics-Computer-Racks-Cabinets/zgbs/electronics/1086958/ref=zg_bs_nav_e_3_172456
19,Scanner Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computer-Scanner-Accessories/zgbs/electronics/172585/ref=zg_bs_nav_e_3_172456
20,USB Gadgets,https://www.amazon.com/Best-Sellers-Electronics-USB-Gadgets/zgbs/electronics/11548961011/ref=zg_bs_nav_e_3_172456
21,USB Hubs,https://www.amazon.com/Best-Sellers-Electronics-USB-Hubs/zgbs/electronics/17387627011/ref=zg_bs_nav_e_3_172456
22,Uninterruptible Power Supply (UPS),https://www.amazon.com/Best-Sellers-Electronics-Computer-Uninterruptible-Power-Supply-Units/zgbs/electronics/764572/ref=zg_bs_nav_e_3_172456
23,Video Projector Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computer-Video-Projector-Accessories/zgbs/electronics/1232269011/ref=zg_bs_nav_e_3_172456
