,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_5_1
1,Business Technology,https://www.amazon.com/Best-Sellers-Books-Business-Technology/zgbs/books/549726/ref=zg_bs_nav_b_2_5
2,Certification,https://www.amazon.com/Best-Sellers-Books-Computer-Technology-Certification-Guides/zgbs/books/3448/ref=zg_bs_nav_b_2_5
3,Computer Science,https://www.amazon.com/Best-Sellers-Books-Computer-Science/zgbs/books/3508/ref=zg_bs_nav_b_2_5
4,Databases & Big Data,https://www.amazon.com/Best-Sellers-Books-Databases-Big-Data/zgbs/books/549646/ref=zg_bs_nav_b_2_5
5,"Digital Audio, Video & Photography",https://www.amazon.com/Best-Sellers-Books-Digital-Audio-Video-Photography/zgbs/books/6133988011/ref=zg_bs_nav_b_2_5
6,Games & Strategy Guides,https://www.amazon.com/Best-Sellers-Books-Computer-Video-Game-Strategy-Guides/zgbs/books/87/ref=zg_bs_nav_b_2_5
7,Graphics & Design,https://www.amazon.com/Best-Sellers-Books-Computer-Graphics-Design/zgbs/books/4134/ref=zg_bs_nav_b_2_5
8,Hardware & DIY,https://www.amazon.com/Best-Sellers-Books-Computer-Hardware-DIY/zgbs/books/549652/ref=zg_bs_nav_b_2_5
9,History & Culture,https://www.amazon.com/Best-Sellers-Books-Computer-History-Culture/zgbs/books/10806606011/ref=zg_bs_nav_b_2_5
10,Internet & Social Media,https://www.amazon.com/Best-Sellers-Books-Internet-Social-Media/zgbs/books/69766/ref=zg_bs_nav_b_2_5
11,"Mobile Phones, Tablets & E-Readers",https://www.amazon.com/Best-Sellers-Books-Mobile-Wireless-Computing/zgbs/books/377557011/ref=zg_bs_nav_b_2_5
12,Networking & Cloud Computing,https://www.amazon.com/Best-Sellers-Books-Networking-Cloud-Computing/zgbs/books/3652/ref=zg_bs_nav_b_2_5
13,Operating Systems,https://www.amazon.com/Best-Sellers-Books-Operating-Systems/zgbs/books/3756/ref=zg_bs_nav_b_2_5
14,Programming,https://www.amazon.com/Best-Sellers-Books-Computer-Programming/zgbs/books/3839/ref=zg_bs_nav_b_2_5
15,Programming Languages,https://www.amazon.com/Best-Sellers-Books-Programming-Languages/zgbs/books/3952/ref=zg_bs_nav_b_2_5
16,Security & Encryption,https://www.amazon.com/Best-Sellers-Books-Computer-Security-Encryption/zgbs/books/377560011/ref=zg_bs_nav_b_2_5
17,Software,https://www.amazon.com/Best-Sellers-Books-Computer-Software/zgbs/books/4053/ref=zg_bs_nav_b_2_5
18,Web Development & Design,https://www.amazon.com/Best-Sellers-Books-Web-Development-Design/zgbs/books/3510/ref=zg_bs_nav_b_2_5
