,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_6_1
1,Asian Cooking,https://www.amazon.com/Best-Sellers-Books-Asian-Cooking-Food-Wine/zgbs/books/4264/ref=zg_bs_nav_b_2_6
2,Baking,https://www.amazon.com/Best-Sellers-Books-Baking/zgbs/books/4196/ref=zg_bs_nav_b_2_6
3,Beverages & Wine,https://www.amazon.com/Best-Sellers-Books-Beverages-Wine/zgbs/books/4219/ref=zg_bs_nav_b_2_6
4,Canning & Preserving,https://www.amazon.com/Best-Sellers-Books-Canning-Preserving/zgbs/books/4207/ref=zg_bs_nav_b_2_6
5,Celebrities & TV Shows,https://www.amazon.com/Best-Sellers-Books-Celebrity-TV-Show-Cookbooks/zgbs/books/7661753011/ref=zg_bs_nav_b_2_6
6,Comfort Food,https://www.amazon.com/Best-Sellers-Books-Comfort-Food-Cooking/zgbs/books/17745806011/ref=zg_bs_nav_b_2_6
7,Cooking Education & Reference,https://www.amazon.com/Best-Sellers-Books-Cooking-Education-Reference/zgbs/books/4229/ref=zg_bs_nav_b_2_6
8,Cooking Methods,https://www.amazon.com/Best-Sellers-Books-Culinary-Arts-Techniques/zgbs/books/4252/ref=zg_bs_nav_b_2_6
9,Cooking by Ingredient,https://www.amazon.com/Best-Sellers-Books-Cooking-Ingredient/zgbs/books/4208/ref=zg_bs_nav_b_2_6
10,Desserts,https://www.amazon.com/Best-Sellers-Books-Dessert-Baking/zgbs/books/4201/ref=zg_bs_nav_b_2_6
11,Entertaining & Holidays,https://www.amazon.com/Best-Sellers-Books-Entertaining-Holiday-Cooking/zgbs/books/4327/ref=zg_bs_nav_b_2_6
12,Italian Cooking,https://www.amazon.com/Best-Sellers-Books-Italian-Cooking-Food-Wine/zgbs/books/4285/ref=zg_bs_nav_b_2_6
13,Kitchen Appliances,https://www.amazon.com/Best-Sellers-Books-Kitchen-Appliance-Cooking/zgbs/books/4256/ref=zg_bs_nav_b_2_6
14,Main Courses & Side Dishes,https://www.amazon.com/Best-Sellers-Books-Main-Courses-Side-Dishes/zgbs/books/4234/ref=zg_bs_nav_b_2_6
15,Outdoor Cooking,https://www.amazon.com/Best-Sellers-Books-Outdoor-Cooking/zgbs/books/4245/ref=zg_bs_nav_b_2_6
16,Professional Cooking,https://www.amazon.com/Best-Sellers-Books-Professional-Cooking/zgbs/books/4251/ref=zg_bs_nav_b_2_6
17,Quick & Easy,https://www.amazon.com/Best-Sellers-Books-Quick-Easy-Cooking/zgbs/books/4257/ref=zg_bs_nav_b_2_6
18,Regional & International,https://www.amazon.com/Best-Sellers-Books-Regional-International-Cooking-Wine/zgbs/books/4262/ref=zg_bs_nav_b_2_6
19,Special Diet,https://www.amazon.com/Best-Sellers-Books-Special-Diet-Cooking/zgbs/books/4317/ref=zg_bs_nav_b_2_6
20,U.S. Cooking,https://www.amazon.com/Best-Sellers-Books-Regional-Cooking-Food-Wine/zgbs/books/4300/ref=zg_bs_nav_b_2_6
21,Vegetarian & Vegan,https://www.amazon.com/Best-Sellers-Books-Vegetarian-Vegan/zgbs/books/4336/ref=zg_bs_nav_b_2_6
