,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_289814_2
1,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining/zgbs/home-garden/284507/ref=zg_bs_unv_hg_2_289814_1
2,Cookware Sets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cookware-Sets/zgbs/home-garden/289816/ref=zg_bs_nav_hg_3_289814
3,Pots & Pans,https://www.amazon.com/Best-Sellers-Home-Kitchen-Pots-Pans/zgbs/home-garden/19343857011/ref=zg_bs_nav_hg_3_289814
4,Casseroles & Bakers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bakers-Casseroles/zgbs/home-garden/289671/ref=zg_bs_nav_hg_3_289814
5,Canning,https://www.amazon.com/Best-Sellers-Home-Kitchen-Canning-Products/zgbs/home-garden/2237238011/ref=zg_bs_nav_hg_3_289814
6,Tea Kettles,https://www.amazon.com/Best-Sellers-Home-Kitchen-Tea-Kettles/zgbs/home-garden/289833/ref=zg_bs_nav_hg_3_289814
7,Pot Racks,https://www.amazon.com/Best-Sellers-Home-Kitchen-Pot-Racks/zgbs/home-garden/289824/ref=zg_bs_nav_hg_3_289814
8,Griddles,https://www.amazon.com/Best-Sellers-Home-Kitchen-Griddles/zgbs/home-garden/289821/ref=zg_bs_nav_hg_3_289814
9,Fondue,https://www.amazon.com/Best-Sellers-Home-Kitchen-Fondue-Sets-Accessories/zgbs/home-garden/289820/ref=zg_bs_nav_hg_3_289814
10,Toaster Oven Cookware,https://www.amazon.com/Best-Sellers-Home-Kitchen-Toaster-Oven-Cookware/zgbs/home-garden/300193/ref=zg_bs_nav_hg_3_289814
11,Disposable Cookware,https://www.amazon.com/Best-Sellers-Home-Kitchen-Disposable-Cookware/zgbs/home-garden/6054383011/ref=zg_bs_nav_hg_3_289814
12,Lids,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cookware-Bakeware-Lids/zgbs/home-garden/289823/ref=zg_bs_nav_hg_3_289814
13,Specialty Cookware,https://www.amazon.com/Best-Sellers-Home-Kitchen-Specialty-Cookware/zgbs/home-garden/289830/ref=zg_bs_nav_hg_3_289814
14,Cookware Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cookware-Accessories/zgbs/home-garden/3737201/ref=zg_bs_nav_hg_3_289814
