,category,URL
0,CDs & Vinyl,https://www.amazon.com/best-sellers-music-albums/zgbs/music/ref=zg_bs_unv_m_1_16_1
1,Americana,https://www.amazon.com/Best-Sellers-Music-Alt-Country-Americana/zgbs/music/63687/ref=zg_bs_nav_m_2_16
2,Bluegrass,https://www.amazon.com/Best-Sellers-Music-Bluegrass/zgbs/music/63690/ref=zg_bs_nav_m_2_16
3,Cajun & Zydeco,https://www.amazon.com/Best-Sellers-Music-Cajun-Zydeco-Blues/zgbs/music/637706/ref=zg_bs_nav_m_2_16
4,Christian Country,https://www.amazon.com/Best-Sellers-Music-Southern-Gospel/zgbs/music/63938/ref=zg_bs_nav_m_2_16
5,Classic Country,https://www.amazon.com/Best-Sellers-Music-Classic-Country/zgbs/music/63700/ref=zg_bs_nav_m_2_16
6,Cowboy,https://www.amazon.com/Best-Sellers-Music-Cowboy-Country/zgbs/music/63694/ref=zg_bs_nav_m_2_16
7,Instrumental,https://www.amazon.com/Best-Sellers-Music-Country-Instrumentals/zgbs/music/618115011/ref=zg_bs_nav_m_2_16
8,Neotraditional,https://www.amazon.com/Best-Sellers-Music-Neotraditional-Country/zgbs/music/598636/ref=zg_bs_nav_m_2_16
9,Outlaw Country,https://www.amazon.com/Best-Sellers-Music-Outlaw-Country/zgbs/music/63699/ref=zg_bs_nav_m_2_16
10,Roadhouse Country,https://www.amazon.com/Best-Sellers-Music-Roadhouse-Country/zgbs/music/63696/ref=zg_bs_nav_m_2_16
11,Today's Country,https://www.amazon.com/Best-Sellers-Music-Todays-Country/zgbs/music/598634/ref=zg_bs_nav_m_2_16
12,Western Swing,https://www.amazon.com/Best-Sellers-Music-Western-Swing/zgbs/music/63701/ref=zg_bs_nav_m_2_16
