,category,URL
0,"Arts, Crafts & Sewing",https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing/zgbs/arts-crafts/ref=zg_bs_unv_ac_1_378733011_1
1,Basket Making,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Basket-Making-Supplies/zgbs/arts-crafts/12890801/ref=zg_bs_nav_ac_2_378733011
2,Candle Making,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Candle-Making-Supplies/zgbs/arts-crafts/262597011/ref=zg_bs_nav_ac_2_378733011
3,Ceramics & Pottery,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Ceramic-Pottery-Supplies/zgbs/arts-crafts/12896441/ref=zg_bs_nav_ac_2_378733011
4,Craft Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Craft-Supplies/zgbs/arts-crafts/8090710011/ref=zg_bs_nav_ac_2_378733011
5,Doll Making,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Doll-Making-Supplies/zgbs/arts-crafts/262606011/ref=zg_bs_nav_ac_2_378733011
6,Fabric Ribbons,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Fabric-Ribbons/zgbs/arts-crafts/12899411/ref=zg_bs_nav_ac_2_378733011
7,Floral Arranging,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Floral-Arranging-Supplies/zgbs/arts-crafts/262607011/ref=zg_bs_nav_ac_2_378733011
8,Leathercraft,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Leathercraft-Supplies/zgbs/arts-crafts/12897111/ref=zg_bs_nav_ac_2_378733011
9,Mosaic Making,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Mosaic-Making-Supplies/zgbs/arts-crafts/262611011/ref=zg_bs_nav_ac_2_378733011
10,Paper & Paper Crafts,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Paper-Craft-Supplies/zgbs/arts-crafts/12897981/ref=zg_bs_nav_ac_2_378733011
11,Picture Framing,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Picture-Framing-Materials/zgbs/arts-crafts/12896921/ref=zg_bs_nav_ac_2_378733011
12,Scratchboards & Foil Engraving,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scratchboards-Foil-Engraving/zgbs/arts-crafts/8090713011/ref=zg_bs_nav_ac_2_378733011
13,Sculpture Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Sculpture-Supplies/zgbs/arts-crafts/12899021/ref=zg_bs_nav_ac_2_378733011
14,Soap Making,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Soap-Making-Supplies/zgbs/arts-crafts/262710011/ref=zg_bs_nav_ac_2_378733011
15,Stained Glass Making,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Stained-Glass-Making-Supplies/zgbs/arts-crafts/262714011/ref=zg_bs_nav_ac_2_378733011
16,Suncatcher Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Suncatcher-Supplies/zgbs/arts-crafts/262609011/ref=zg_bs_nav_ac_2_378733011
17,Weaving & Spinning,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Weaving-Spinning-Supplies/zgbs/arts-crafts/12899571/ref=zg_bs_nav_ac_2_378733011
18,Woodcrafts,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Wood-Craft-Supplies/zgbs/arts-crafts/262715011/ref=zg_bs_nav_ac_2_378733011
