,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_289851_2
1,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining/zgbs/home-garden/284507/ref=zg_bs_unv_hg_2_289851_1
2,Asian Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Asian-Knives/zgbs/home-garden/289852/ref=zg_bs_nav_hg_3_289851
3,Boning Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Boning-Knives/zgbs/home-garden/19290350011/ref=zg_bs_nav_hg_3_289851
4,Bread Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bread-Knives/zgbs/home-garden/720777011/ref=zg_bs_nav_hg_3_289851
5,Cake Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cake-Knives/zgbs/home-garden/3737381/ref=zg_bs_nav_hg_3_289851
6,Carving Knives & Forks,https://www.amazon.com/Best-Sellers-Home-Kitchen-Carving-Knives-Forks/zgbs/home-garden/289856/ref=zg_bs_nav_hg_3_289851
7,Chef's Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Chefs-Knives/zgbs/home-garden/289857/ref=zg_bs_nav_hg_3_289851
8,Cleavers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cleavers/zgbs/home-garden/289858/ref=zg_bs_nav_hg_3_289851
9,Cutting Boards,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cutting-Boards/zgbs/home-garden/289863/ref=zg_bs_nav_hg_3_289851
10,Electric Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Electric-Knives/zgbs/home-garden/3737391/ref=zg_bs_nav_hg_3_289851
11,Fillet Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Fillet-Knives/zgbs/home-garden/19290351011/ref=zg_bs_nav_hg_3_289851
12,Knife Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Knife-Accessories/zgbs/home-garden/3737361/ref=zg_bs_nav_hg_3_289851
13,Knife Blocks & Storage,https://www.amazon.com/Best-Sellers-Home-Kitchen-Knife-Blocks-Storage/zgbs/home-garden/289870/ref=zg_bs_nav_hg_3_289851
14,Knife Sets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Knife-Sets/zgbs/home-garden/289864/ref=zg_bs_nav_hg_3_289851
15,Knife Sharpeners,https://www.amazon.com/Best-Sellers-Home-Kitchen-Knife-Sharpeners/zgbs/home-garden/289867/ref=zg_bs_nav_hg_3_289851
16,Paring Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Paring-Knives/zgbs/home-garden/289859/ref=zg_bs_nav_hg_3_289851
17,Shears,https://www.amazon.com/Best-Sellers-Home-Kitchen-Shears/zgbs/home-garden/289860/ref=zg_bs_nav_hg_3_289851
18,Specialty Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Specialty-Knives/zgbs/home-garden/289862/ref=zg_bs_nav_hg_3_289851
19,Steak Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Steak-Knives/zgbs/home-garden/289861/ref=zg_bs_nav_hg_3_289851
20,Utility Knives,https://www.amazon.com/Best-Sellers-Home-Kitchen-Utility-Knives/zgbs/home-garden/498926/ref=zg_bs_nav_hg_3_289851
