,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_383598011_1
1,Band Saw Blades,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Band-Saw-Blades/zgbs/industrial/552288/ref=zg_bs_nav_indust_2_383598011
2,Boring Bars,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Boring-Bars/zgbs/industrial/256257011/ref=zg_bs_nav_indust_2_383598011
3,Brazed Tools,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Brazed-Tools/zgbs/industrial/340029011/ref=zg_bs_nav_indust_2_383598011
4,Broaches,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Broaches/zgbs/industrial/340030011/ref=zg_bs_nav_indust_2_383598011
5,Counterbores,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Counterbores/zgbs/industrial/256258011/ref=zg_bs_nav_indust_2_383598011
6,Countersinks,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Countersinks/zgbs/industrial/256259011/ref=zg_bs_nav_indust_2_383598011
7,Cutting Burrs,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Cutting-Burrs/zgbs/industrial/256263011/ref=zg_bs_nav_indust_2_383598011
8,Cutting Tool Coolants,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Cutting-Tool-Coolants/zgbs/industrial/401548011/ref=zg_bs_nav_indust_2_383598011
9,Deburring Cutters,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Deburring-Cutters/zgbs/industrial/340035011/ref=zg_bs_nav_indust_2_383598011
10,Drill & Tap Sets,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Drill-Tap-Sets/zgbs/industrial/8906585011/ref=zg_bs_nav_indust_2_383598011
11,Drill Adapters,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Drill-Adapters/zgbs/industrial/340037011/ref=zg_bs_nav_indust_2_383598011
12,Fixturing Clamps,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Fixturing-Clamps/zgbs/industrial/401581011/ref=zg_bs_nav_indust_2_383598011
13,Hole Saws & Accessories,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hole-Saws-Accessories/zgbs/industrial/552402/ref=zg_bs_nav_indust_2_383598011
14,Indexable Insert Holders,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Indexable-Insert-Holders/zgbs/industrial/257513011/ref=zg_bs_nav_indust_2_383598011
15,Indexable Inserts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Indexable-Inserts/zgbs/industrial/257519011/ref=zg_bs_nav_indust_2_383598011
16,Industrial Drill Bits,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Drill-Bits/zgbs/industrial/256264011/ref=zg_bs_nav_indust_2_383598011
17,Live Centers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Live-Centers/zgbs/industrial/1265143011/ref=zg_bs_nav_indust_2_383598011
18,Metal Cutting Circular Saw Blades,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Metal-Cutting-Circular-Saw-Blades/zgbs/industrial/9627233011/ref=zg_bs_nav_indust_2_383598011
19,Metal Cutting Circular Saws,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Metal-Cutting-Circular-Saws/zgbs/industrial/9627231011/ref=zg_bs_nav_indust_2_383598011
20,Milling Accessories,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Power-Milling-Machine-Accessories/zgbs/industrial/5825198011/ref=zg_bs_nav_indust_2_383598011
21,Port Contour Cutters,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Port-Contour-Cutters/zgbs/industrial/340038011/ref=zg_bs_nav_indust_2_383598011
22,Punches,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hand-Punches/zgbs/industrial/2225051011/ref=zg_bs_nav_indust_2_383598011
23,Reamers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Reamers/zgbs/industrial/256295011/ref=zg_bs_nav_indust_2_383598011
24,Router Bits,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Router-Bits/zgbs/industrial/3116511/ref=zg_bs_nav_indust_2_383598011
25,Shell Reamer Arbors,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Shell-Reamer-Arbors/zgbs/industrial/340039011/ref=zg_bs_nav_indust_2_383598011
26,Slotting Cutters,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Slotting-Cutters/zgbs/industrial/256311011/ref=zg_bs_nav_indust_2_383598011
27,Thread Mills,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Thread-Mills/zgbs/industrial/256319011/ref=zg_bs_nav_indust_2_383598011
28,Thread Repair Kits,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Thread-Repair-Kits/zgbs/industrial/15709071/ref=zg_bs_nav_indust_2_383598011
29,Threading Dies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Threading-Dies/zgbs/industrial/256320011/ref=zg_bs_nav_indust_2_383598011
30,Threading Taps,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Threading-Taps/zgbs/industrial/256324011/ref=zg_bs_nav_indust_2_383598011
31,Tool Holders,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Tool-Holders/zgbs/industrial/401549011/ref=zg_bs_nav_indust_2_383598011
