,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_1292110011_2
1,Computers & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computers-Accessories/zgbs/electronics/541966/ref=zg_bs_unv_e_2_1292110011_1
2,External Hard Drives,https://www.amazon.com/Best-Sellers-Electronics-External-Hard-Drives/zgbs/electronics/595048/ref=zg_bs_nav_e_3_1292110011
3,External Solid State Drives,https://www.amazon.com/Best-Sellers-Electronics-External-Solid-State-Drives/zgbs/electronics/3015429011/ref=zg_bs_nav_e_3_1292110011
4,External Zip Drives,https://www.amazon.com/Best-Sellers-Electronics-External-Zip-Drives/zgbs/electronics/1193862/ref=zg_bs_nav_e_3_1292110011
5,Floppy & Tape Drives,https://www.amazon.com/Best-Sellers-Electronics-Floppy-Tape-Drives/zgbs/electronics/6795226011/ref=zg_bs_nav_e_3_1292110011
6,Internal Hard Drives,https://www.amazon.com/Best-Sellers-Electronics-Internal-Hard-Drives/zgbs/electronics/1254762011/ref=zg_bs_nav_e_3_1292110011
7,Internal Solid State Drives,https://www.amazon.com/Best-Sellers-Electronics-Internal-Solid-State-Drives/zgbs/electronics/1292116011/ref=zg_bs_nav_e_3_1292110011
8,Network Attached Storage,https://www.amazon.com/Best-Sellers-Electronics-Computer-Network-Attached-Storage/zgbs/electronics/13436301/ref=zg_bs_nav_e_3_1292110011
9,Tape Libraries,https://www.amazon.com/Best-Sellers-Electronics-Tape-Libraries/zgbs/electronics/6795227011/ref=zg_bs_nav_e_3_1292110011
10,USB Flash Drives,https://www.amazon.com/Best-Sellers-Electronics-USB-Flash-Drives/zgbs/electronics/3151491/ref=zg_bs_nav_e_3_1292110011
