,category,URL
0,Grocery & Gourmet Food,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food/zgbs/grocery/ref=zg_bs_unv_gro_1_18773724011_1
1,Appetizers,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Appetizers/zgbs/grocery/10759242011/ref=zg_bs_nav_gro_2_18773724011
2,Box Lunches,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Box-Lunches/zgbs/grocery/10763290011/ref=zg_bs_nav_gro_2_18773724011
3,Breakfast,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Breakfast-Foods/zgbs/grocery/10764355011/ref=zg_bs_nav_gro_2_18773724011
4,"Casseroles, Pot Pies & Quiches",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Casseroles-Pot-Pies-Quiches/zgbs/grocery/10764480011/ref=zg_bs_nav_gro_2_18773724011
5,Deli Meats & Cheeses,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Deli-Meats-Cheeses/zgbs/grocery/18773725011/ref=zg_bs_nav_gro_2_18773724011
6,Deli Salads,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Deli-Salads/zgbs/grocery/10770975011/ref=zg_bs_nav_gro_2_18773724011
7,"Dips, Salsas & Spreads",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Dips-Salsas-Spreads/zgbs/grocery/10770560011/ref=zg_bs_nav_gro_2_18773724011
8,Entrees,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Entrees/zgbs/grocery/10770668011/ref=zg_bs_nav_gro_2_18773724011
9,Fresh Pasta & Sauces,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Pasta-Sauces/zgbs/grocery/10770824011/ref=zg_bs_nav_gro_2_18773724011
10,Fresh Risotto,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Risotto/zgbs/grocery/21349994011/ref=zg_bs_nav_gro_2_18773724011
11,Meal Kits,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Meal-Ingredient-Kits/zgbs/grocery/15709227011/ref=zg_bs_nav_gro_2_18773724011
12,Olives & Antipasto,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Antipasto/zgbs/grocery/9847696011/ref=zg_bs_nav_gro_2_18773724011
13,Sandwiches & Wraps,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Sandwiches-Wraps/zgbs/grocery/10771131011/ref=zg_bs_nav_gro_2_18773724011
14,Side Dishes,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Side-Dishes/zgbs/grocery/10771164011/ref=zg_bs_nav_gro_2_18773724011
15,"Soups, Stews & Chili",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Prepared-Soups-Stews-Chili/zgbs/grocery/10771239011/ref=zg_bs_nav_gro_2_18773724011
