,category,URL
0,Baby,https://www.amazon.com/Best-Sellers-Baby/zgbs/baby-products/ref=zg_bs_unv_ba_1_166764011_1
1,Changing Table Pads & Covers,https://www.amazon.com/Best-Sellers-Baby-Diaper-Changing-Table-Covers-Pads/zgbs/baby-products/166765011/ref=zg_bs_nav_ba_2_166764011
2,Changing Tables,https://www.amazon.com/Best-Sellers-Baby-Diaper-Changing-Tables/zgbs/baby-products/166811011/ref=zg_bs_nav_ba_2_166764011
3,Cloth Diaper Accessories,https://www.amazon.com/Best-Sellers-Baby-Cloth-Diaper-Accessories/zgbs/baby-products/6104946011/ref=zg_bs_nav_ba_2_166764011
4,Cloth Diapers,https://www.amazon.com/Best-Sellers-Baby-Cloth-Diapers/zgbs/baby-products/166771011/ref=zg_bs_nav_ba_2_166764011
5,Diaper Bags,https://www.amazon.com/Best-Sellers-Baby-Diaper-Bags/zgbs/baby-products/166767011/ref=zg_bs_nav_ba_2_166764011
6,Diaper Creams & Ointments,https://www.amazon.com/Best-Sellers-Baby-Diaper-Creams/zgbs/baby-products/322263011/ref=zg_bs_nav_ba_2_166764011
7,Diaper Pails & Refills,https://www.amazon.com/Best-Sellers-Baby-Diaper-Pails-Refills/zgbs/baby-products/166768011/ref=zg_bs_nav_ba_2_166764011
8,Diaper Stackers & Caddies,https://www.amazon.com/Best-Sellers-Baby-Diaper-Stackers-Caddies/zgbs/baby-products/166769011/ref=zg_bs_nav_ba_2_166764011
9,Disposable Diapers,https://www.amazon.com/Best-Sellers-Baby-Disposable-Diapers/zgbs/baby-products/166772011/ref=zg_bs_nav_ba_2_166764011
10,Portable Changing Pads,https://www.amazon.com/Best-Sellers-Baby-Portable-Changing-Pads/zgbs/baby-products/2237474011/ref=zg_bs_nav_ba_2_166764011
11,Powders,https://www.amazon.com/Best-Sellers-Baby-Powders/zgbs/baby-products/322266011/ref=zg_bs_nav_ba_2_166764011
12,Wipes & Holders,https://www.amazon.com/Best-Sellers-Baby-Diaper-Wipes-Accessories/zgbs/baby-products/166776011/ref=zg_bs_nav_ba_2_166764011
