,category,URL
0,Sports Collectibles,https://www.amazon.com/Best-Sellers-Sports-Collectibles/zgbs/sports-collectibles/ref=zg_bs_unv_sg_sc_1_7702514011_1
1,Balls,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Balls/zgbs/sports-collectibles/3311044011/ref=zg_bs_nav_sg_sc_2_7702514011
2,Baseball Bases,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Baseball-Bases/zgbs/sports-collectibles/5395827011/ref=zg_bs_nav_sg_sc_2_7702514011
3,Bats,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Bats/zgbs/sports-collectibles/3311045011/ref=zg_bs_nav_sg_sc_2_7702514011
4,Bobbleheads,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Bobbleheads/zgbs/sports-collectibles/3311046011/ref=zg_bs_nav_sg_sc_2_7702514011
5,Books,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Books/zgbs/sports-collectibles/3311047011/ref=zg_bs_nav_sg_sc_2_7702514011
6,Clothing & Uniforms,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Clothing-Uniforms/zgbs/sports-collectibles/7702506011/ref=zg_bs_nav_sg_sc_2_7702514011
7,Cut Signatures,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Memorabilia-Cut-Signatures/zgbs/sports-collectibles/5931158011/ref=zg_bs_nav_sg_sc_2_7702514011
8,Figurines,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Figurines/zgbs/sports-collectibles/7702516011/ref=zg_bs_nav_sg_sc_2_7702514011
9,Flags & Banners,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Flags-Banners/zgbs/sports-collectibles/3311048011/ref=zg_bs_nav_sg_sc_2_7702514011
10,Gloves,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Gloves/zgbs/sports-collectibles/3311051011/ref=zg_bs_nav_sg_sc_2_7702514011
11,Golf Clubs,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Golf-Clubs/zgbs/sports-collectibles/3311052011/ref=zg_bs_nav_sg_sc_2_7702514011
12,Hats,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Hats/zgbs/sports-collectibles/3311053011/ref=zg_bs_nav_sg_sc_2_7702514011
13,Helmets,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Helmets/zgbs/sports-collectibles/3311054011/ref=zg_bs_nav_sg_sc_2_7702514011
14,Hockey Pucks,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Hockey-Pucks/zgbs/sports-collectibles/3311057011/ref=zg_bs_nav_sg_sc_2_7702514011
15,Hockey Sticks & Blades,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Hockey-Sticks-Blades/zgbs/sports-collectibles/3311058011/ref=zg_bs_nav_sg_sc_2_7702514011
16,Jerseys,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Jerseys/zgbs/sports-collectibles/3311061011/ref=zg_bs_nav_sg_sc_2_7702514011
17,Lineup Cards,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Lineup-Cards/zgbs/sports-collectibles/5395826011/ref=zg_bs_nav_sg_sc_2_7702514011
18,Magazines,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Magazines/zgbs/sports-collectibles/3311062011/ref=zg_bs_nav_sg_sc_2_7702514011
19,Personal Checks,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Personal-Checks/zgbs/sports-collectibles/5395829011/ref=zg_bs_nav_sg_sc_2_7702514011
20,Photographs,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Photographs/zgbs/sports-collectibles/3311063011/ref=zg_bs_nav_sg_sc_2_7702514011
21,Postcards & Index Cards,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Postcards-Index-Cards/zgbs/sports-collectibles/3311064011/ref=zg_bs_nav_sg_sc_2_7702514011
22,Prints & Posters,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Prints-Posters/zgbs/sports-collectibles/3311067011/ref=zg_bs_nav_sg_sc_2_7702514011
23,Publications & Media,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Publications-Media/zgbs/sports-collectibles/7702507011/ref=zg_bs_nav_sg_sc_2_7702514011
24,Shoes,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Shoes/zgbs/sports-collectibles/3311068011/ref=zg_bs_nav_sg_sc_2_7702514011
25,Stadium Components,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Stadium-Components/zgbs/sports-collectibles/5395825011/ref=zg_bs_nav_sg_sc_2_7702514011
26,Ticket Stubs,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Ticket-Stubs/zgbs/sports-collectibles/3311069011/ref=zg_bs_nav_sg_sc_2_7702514011
27,Trading Cards,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Trading-Cards/zgbs/sports-collectibles/3311070011/ref=zg_bs_nav_sg_sc_2_7702514011
28,Trophies,https://www.amazon.com/Best-Sellers-Sports-Collectibles-Collectible-Trophies/zgbs/sports-collectibles/5395823011/ref=zg_bs_nav_sg_sc_2_7702514011
