,category,URL
0,Pet Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies/zgbs/pet-supplies/ref=zg_bs_unv_petsupplies_1_2975312011_1
1,Food,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Food/zgbs/pet-supplies/2975359011/ref=zg_bs_nav_petsupplies_2_2975312011
2,Treats,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Treats/zgbs/pet-supplies/2975434011/ref=zg_bs_nav_petsupplies_2_2975312011
3,Apparel & Accessories,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Apparel-Accessories/zgbs/pet-supplies/2975313011/ref=zg_bs_nav_petsupplies_2_2975312011
4,Beds & Furniture,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Beds-Furniture/zgbs/pet-supplies/2975326011/ref=zg_bs_nav_petsupplies_2_2975312011
5,Cameras & Monitors,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cameras-Monitors/zgbs/pet-supplies/17440052011/ref=zg_bs_nav_petsupplies_2_2975312011
6,Carriers & Travel Products,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Carriers-Travel-Products/zgbs/pet-supplies/2975333011/ref=zg_bs_nav_petsupplies_2_2975312011
7,"Collars, Harnesses & Leashes",https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Collars-Harnesses-Leashes/zgbs/pet-supplies/2975339011/ref=zg_bs_nav_petsupplies_2_2975312011
8,"Crates, Houses & Pens",https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Crates-Houses-Pens/zgbs/pet-supplies/2975400011/ref=zg_bs_nav_petsupplies_2_2975312011
9,"Doors, Gates & Ramps",https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Doors-Gates-Ramps/zgbs/pet-supplies/2975346011/ref=zg_bs_nav_petsupplies_2_2975312011
10,Feeding & Watering Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Feeding-Watering/zgbs/pet-supplies/2975351011/ref=zg_bs_nav_petsupplies_2_2975312011
11,Flea & Tick Control,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Flea-Tick-Control/zgbs/pet-supplies/2975384011/ref=zg_bs_nav_petsupplies_2_2975312011
12,Grooming,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Grooming/zgbs/pet-supplies/2975362011/ref=zg_bs_nav_petsupplies_2_2975312011
13,Health Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Health/zgbs/pet-supplies/2975377011/ref=zg_bs_nav_petsupplies_2_2975312011
14,Litter & Housebreaking,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Housebreaking/zgbs/pet-supplies/2975405011/ref=zg_bs_nav_petsupplies_2_2975312011
15,Memorials,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Memorials/zgbs/pet-supplies/2975412011/ref=zg_bs_nav_petsupplies_2_2975312011
16,Toys,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Toys/zgbs/pet-supplies/2975413011/ref=zg_bs_nav_petsupplies_2_2975312011
17,Training & Behavior Aids,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Training-Behavior-Aids/zgbs/pet-supplies/2975420011/ref=zg_bs_nav_petsupplies_2_2975312011
