,category,URL
0,Office Products,https://www.amazon.com/Best-Sellers-Office-Products/zgbs/office-products/ref=zg_bs_unv_op_1_12899801_2
1,Office Supplies,https://www.amazon.com/Best-Sellers-Office-Products-School-Supplies/zgbs/office-products/1069242/ref=zg_bs_unv_op_2_12899801_1
2,Arts & Crafts Supplies,https://www.amazon.com/Best-Sellers-Office-Products-Art-Supplies-Craft/zgbs/office-products/490778011/ref=zg_bs_nav_op_3_12899801
3,Classroom Furniture,https://www.amazon.com/Best-Sellers-Office-Products-Classroom-Furniture/zgbs/office-products/6650975011/ref=zg_bs_nav_op_3_12899801
4,Classroom Science Supplies,https://www.amazon.com/Best-Sellers-Office-Products-School-Science-Supplies/zgbs/office-products/12900221/ref=zg_bs_nav_op_3_12899801
5,Desk Tapes & Nameplates,https://www.amazon.com/Best-Sellers-Office-Products-Nameplates-Desk-Tapes/zgbs/office-products/12900881/ref=zg_bs_nav_op_3_12899801
6,Early Childhood Education Materials,https://www.amazon.com/Best-Sellers-Office-Products-Early-Childhood-Education-Materials/zgbs/office-products/12900351/ref=zg_bs_nav_op_3_12899801
7,Filing Products,https://www.amazon.com/Best-Sellers-Office-Products-Filing/zgbs/office-products/1069554/ref=zg_bs_nav_op_3_12899801
8,First Aid Kits,https://www.amazon.com/Best-Sellers-Office-Products-Workplace-First-Aid-Kits/zgbs/office-products/3465341/ref=zg_bs_nav_op_3_12899801
9,Foreign Language Materials,https://www.amazon.com/Best-Sellers-Office-Products-Foreign-Language-Materials/zgbs/office-products/6650985011/ref=zg_bs_nav_op_3_12899801
10,Geography Materials,https://www.amazon.com/Best-Sellers-Office-Products-Geography-Materials/zgbs/office-products/12900311/ref=zg_bs_nav_op_3_12899801
11,Hall Passes,https://www.amazon.com/Best-Sellers-Office-Products-Hall-Passes/zgbs/office-products/6650987011/ref=zg_bs_nav_op_3_12899801
12,Math Materials,https://www.amazon.com/Best-Sellers-Office-Products-Math-Materials/zgbs/office-products/12900191/ref=zg_bs_nav_op_3_12899801
13,Pocket Charts,https://www.amazon.com/Best-Sellers-Office-Products-Classroom-Pocket-Charts/zgbs/office-products/490790011/ref=zg_bs_nav_op_3_12899801
14,Reading & Writing Materials,https://www.amazon.com/Best-Sellers-Office-Products-Reading-Writing-Materials/zgbs/office-products/6650988011/ref=zg_bs_nav_op_3_12899801
15,Reading Guide Strips & Pages,https://www.amazon.com/Best-Sellers-Office-Products-Reading-Guide-Strips-Pages/zgbs/office-products/6650989011/ref=zg_bs_nav_op_3_12899801
16,Special Education Supplies,https://www.amazon.com/Best-Sellers-Office-Products-Special-Education-School-Supplies/zgbs/office-products/12900371/ref=zg_bs_nav_op_3_12899801
17,Students Scissors,https://www.amazon.com/Best-Sellers-Office-Products-Students-Round-Edge-Scissors/zgbs/office-products/1084736/ref=zg_bs_nav_op_3_12899801
18,Teaching Materials,https://www.amazon.com/Best-Sellers-Office-Products-Teaching-Materials/zgbs/office-products/1068990/ref=zg_bs_nav_op_3_12899801
19,Writing & Correction Supplies,https://www.amazon.com/Best-Sellers-Office-Products-Writing-Supplies-Correction/zgbs/office-products/1069784/ref=zg_bs_nav_op_3_12899801
